ColumnA	ColumnB	ColumnC
1	Control	33.5211267605634
1	Control	34.4559585492228
1	Control	23.58674463937622
1	Control	36.17407071622847
1	Control	26.85982772122161
1	Control	13.36515513126492
1	Control	27.66217870257038
1	Control	29.80225988700565
1	Control	16.43356643356643
1	Control	29.20759659462999
2	Control	28.84012539184953
2	Control	18.75540190146932
2	Control	16.61107404936624
2	Control	23.92127176381529
2	Control	32.25225225225226
2	Control	35.82251082251082
2	Control	11.55815654718361
2	Control	21.90045248868778
2	Control	37.47685797408093
2	Control	31.60762942779292
2	Control	11.84600197433366
2	Control	20.55288461538462
2	Control	38.06818181818182
3	Control	33.18250377073907
3	Control	8.881298035866781
3	Control	13.07901907356948
3	Control	26.74418604651163
3	Control	12.99052774018945
3	Control	28.44660194174757
3	Control	24.71544715447154
3	Control	16.56288916562889
3	Control	15.7258064516129
3	Control	33.20987654320987
3	Control	21.83163737280296
3	Control	9.674027339642482
1	Dynole	23.41526520051746
1	Dynole	21.82603997839006
1	Dynole	34.93589743589744
1	Dynole	32.29813664596274
1	Dynole	14.69115191986644
1	Dynole	29.96894409937888
1	Dynole	30.03472222222222
1	Dynole	25.10460251046025
1	Dynole	32.57497414684592
1	Dynole	30.24017467248908
2	Dynole	31.80039138943248
2	Dynole	28.31257078142695
2	Dynole	40.31746031746032
2	Dynole	24.39353099730458
2	Dynole	13.2994923857868
2	Dynole	48.71001031991744
2	Dynole	25.20242914979757
2	Dynole	53.52380952380953
2	Dynole	30.09592326139089
2	Dynole	47.86476868327402
2	Dynole	17.5886524822695
2	Dynole	28.66988283942109
2	Dynole	16.62049861495845
3	Dynole	16.36952998379255
3	Dynole	16.97574893009986
3	Dynole	18.5595567867036
3	Dynole	19.50886766712142
3	Dynole	9.976247030878859
3	Dynole	12.67605633802817
3	Dynole	32.05298013245033
3	Dynole	23.65853658536586
3	Dynole	11.25
3	Dynole	6.87757909215956
3	Dynole	21.55405405405405
3	Dynole	23.73853211009174
3	Dynole	22.35955056179775
3	Dynole	12.74509803921569
