ColumnA	ColumnB	ColumnC
1	ctrl	21.97406340057637
1	ctrl	44.31946006749156
1	ctrl	41.68734491315136
1	ctrl	34.97224425059476
1	ctrl	35.05007153075822
1	ctrl	40.05167958656331
1	ctrl	28.03347280334728
1	ctrl	41.91960623461854
1	ctrl	38.37095191364082
1	ctrl	22.68656716417911
1	ctrl	36.86826843413422
1	ctrl	11.46993318485523
1	ctrl	25.91414944356121
1	ctrl	37.82696177062374
1	ctrl	39.02439024390244
1	ctrl	42.69557021677662
2	ctrl	32.05374280230326
2	ctrl	20.36316472114137
2	ctrl	36.08562691131498
2	ctrl	21.2
2	ctrl	55.88957055214724
2	ctrl	17.72315653298836
2	ctrl	27.20379146919431
2	ctrl	15.56195965417867
2	ctrl	37.89592760180995
2	ctrl	32.04930662557781
2	ctrl	29.69924812030075
2	ctrl	15.56603773584906
2	ctrl	46.22705642420122
2	ctrl	40.82914572864322
2	ctrl	46.61354581673307
2	ctrl	45.06816359262229
3	ctrl	31.80291153415454
3	ctrl	33.96918561995598
3	ctrl	18.92610313662945
3	ctrl	29.61210974456008
3	ctrl	23.02504816955684
3	ctrl	30.4635761589404
3	ctrl	31.4410480349345
3	ctrl	21.69260700389105
3	ctrl	31.60285528877352
3	ctrl	32.6241134751773
3	ctrl	22.29038854805726
3	ctrl	28.2051282051282
3	ctrl	23.5705950991832
3	ctrl	16.87448046550291
3	ctrl	31.84306569343066
1	Vps4aWT	32.31552162849873
1	Vps4aWT	50.36447978793903
1	Vps4aWT	36.61527680448494
1	Vps4aWT	41.86584425597533
1	Vps4aWT	44.76122594440485
1	Vps4aWT	34.53827460510328
1	Vps4aWT	31.86877562975981
1	Vps4aWT	19.449378330373
1	Vps4aWT	34.53650533223954
1	Vps4aWT	55.49242424242424
1	Vps4aWT	27.65957446808511
1	Vps4aWT	41.98000951927654
1	Vps4aWT	31.3231850117096
1	Vps4aWT	30.50505050505051
1	Vps4aWT	31.01604278074866
2	Vps4aWT	53.32290852228304
2	Vps4aWT	32.95081967213115
2	Vps4aWT	19.68085106382979
2	Vps4aWT	34.10672853828306
2	Vps4aWT	45.99303135888502
2	Vps4aWT	32.46311010215664
2	Vps4aWT	31.22171945701357
2	Vps4aWT	35.77464788732394
2	Vps4aWT	53.03738317757009
2	Vps4aWT	29.06287069988138
2	Vps4aWT	46.83257918552036
2	Vps4aWT	34.86381322957198
2	Vps4aWT	28.73563218390805
2	Vps4aWT	29.47214076246334
2	Vps4aWT	44.29223744292238
3	Vps4aWT	51.68539325842696
3	Vps4aWT	31.06212424849699
3	Vps4aWT	28.05429864253394
3	Vps4aWT	21.34646962233169
3	Vps4aWT	32.43727598566309
3	Vps4aWT	43.58600583090379
3	Vps4aWT	22.34957020057307
3	Vps4aWT	39.23679060665362
3	Vps4aWT	29.15936952714536
3	Vps4aWT	26.58730158730159
3	Vps4aWT	59.30232558139535
3	Vps4aWT	28.03234501347709
3	Vps4aWT	39.61538461538461
3	Vps4aWT	30.28430160692213
3	Vps4aWT	42.85714285714285
1	Vps4aW228Q	45.40174249757987
1	Vps4aW228Q	29.23310554290053
1	Vps4aW228Q	22.34169653524492
1	Vps4aW228Q	31.3543599257885
1	Vps4aW228Q	31.18617439120188
1	Vps4aW228Q	54.3046357615894
1	Vps4aW228Q	29.98872604284104
1	Vps4aW228Q	31.80682764363031
1	Vps4aW228Q	49.49614700652045
1	Vps4aW228Q	29.95918367346939
1	Vps4aW228Q	35.43408360128618
1	Vps4aW228Q	27.81794980859209
1	Vps4aW228Q	25.89473684210526
1	Vps4aW228Q	34.65067043048695
1	Vps4aW228Q	38.67102396514161
2	Vps4aW228Q	17.10794297352342
2	Vps4aW228Q	24.93660185967878
2	Vps4aW228Q	59.33333333333334
2	Vps4aW228Q	41.35802469135803
2	Vps4aW228Q	56.49350649350649
2	Vps4aW228Q	66.81195516811955
2	Vps4aW228Q	34.88372093023256
2	Vps4aW228Q	47.23809523809524
2	Vps4aW228Q	32.0957095709571
2	Vps4aW228Q	17.92828685258964
2	Vps4aW228Q	20.85816448152563
2	Vps4aW228Q	34.40217391304348
2	Vps4aW228Q	41.67306216423638
2	Vps4aW228Q	45.7204767063922
3	Vps4aW228Q	49.36708860759494
3	Vps4aW228Q	40.52718286655683
3	Vps4aW228Q	34.04710920770878
3	Vps4aW228Q	56.60377358490566
3	Vps4aW228Q	40.71537290715373
3	Vps4aW228Q	44.25806451612903
3	Vps4aW228Q	34.73407747866054
3	Vps4aW228Q	39.62472406181016
3	Vps4aW228Q	34.13597733711048
3	Vps4aW228Q	51.59817351598173
3	Vps4aW228Q	31.97530864197531
3	Vps4aW228Q	35.16228748068006
3	Vps4aW228Q	41.07142857142857
3	Vps4aW228Q	25.38461538461538
