ColumnA	ColumnB	ColumnC
1	Vehicle	27.28476821192053
1	Vehicle	35.02824858757062
1	Vehicle	39.11111111111111
1	Vehicle	17.46442432082794
1	Vehicle	16.35846372688478
1	Vehicle	33.05785123966942
1	Vehicle	31.63716814159292
1	Vehicle	10.65989847715736
1	Vehicle	19.28480204342273
1	Vehicle	19.08629441624365
1	Vehicle	23.04964539007092
2	Vehicle	28.99906454630496
2	Vehicle	18.58190709046455
2	Vehicle	29.6
2	Vehicle	64.46991404011462
2	Vehicle	49.25883694412771
2	Vehicle	37.97968397291196
2	Vehicle	34.54291695743196
2	Vehicle	32.41296518607443
2	Vehicle	27.51677852348993
2	Vehicle	47.47474747474747
2	Vehicle	11.80981595092025
2	Vehicle	36.57694962042788
3	Vehicle	20
3	Vehicle	31.16591928251121
3	Vehicle	37.36162361623617
3	Vehicle	19.78319783197832
3	Vehicle	6.811989100817438
3	Vehicle	7.278481012658228
3	Vehicle	32.86840509399636
3	Vehicle	21.77328843995511
3	Vehicle	28.45188284518828
3	Vehicle	21.82061579651941
3	Vehicle	27.44090441932169
3	Vehicle	24.03258655804481
3	Vehicle	31.38138138138138
3	Vehicle	34.04669260700389
1	LatB	4.447268106734435
1	LatB	21.45015105740181
1	LatB	32.70365997638725
1	LatB	24.06015037593985
1	LatB	20.77922077922078
1	LatB	24.45820433436533
1	LatB	16.75977653631285
1	LatB	19.6078431372549
1	LatB	34.11306042884991
1	LatB	17.96116504854369
1	LatB	23.36448598130841
1	LatB	10.07194244604317
1	LatB	27.73246329526917
1	LatB	26.58092175777063
1	LatB	14.28571428571429
1	LatB	24.0990990990991
1	LatB	13.12741312741313
2	LatB	41.99877375843041
2	LatB	36.17511520737327
2	LatB	23.85685884691849
2	LatB	34.01253918495298
2	LatB	32.56955810147299
2	LatB	35.38913362701909
2	LatB	53.3068783068783
2	LatB	39.54659949622166
2	LatB	32.88135593220339
2	LatB	29.83354673495518
2	LatB	20.79018028385117
2	LatB	22.66124346310285
3	LatB	26.32211538461538
3	LatB	38.76221498371336
3	LatB	29.30232558139535
3	LatB	30.63314711359404
3	LatB	35.40885221305327
3	LatB	31.23456790123457
3	LatB	42.45810055865922
3	LatB	12.12121212121212
3	LatB	18.48030018761726
3	LatB	29.30232558139535
3	LatB	9.322033898305085
3	LatB	33.03571428571428
3	LatB	26.08695652173913
