 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.012,255,0,255,255,0.541,3.164,1530
2,0.097,255,0,255,255,1.253,24.785,11985
3,0.021,255,0,255,255,0.477,5.273,2550
4,0.304,255,0,255,255,2.131,77.518,37485
5,0.074,255,0,255,255,1.125,18.984,9180
6,0.014,255,0,255,255,0.503,3.691,1785
7,0.176,255,0,255,255,1.896,44.824,21675
8,0.014,255,0,255,255,0.450,3.691,1785
9,0.023,255,0,255,255,0.514,5.801,2805
10,0.012,255,0,255,255,0.477,3.164,1530
11,0.126,255,0,255,255,1.291,32.168,15555
12,0.025,255,0,255,255,0.632,6.328,3060
13,0.287,255,0,255,255,2.495,73.300,35445
14,0.010,255,0,255,255,0.386,2.637,1275
15,0.019,255,0,255,255,0.514,4.746,2295
16,0.004,255,0,255,255,0.220,1.055,510
17,0.010,255,0,255,255,0.386,2.637,1275
18,0.192,255,0,255,255,2.040,49.042,23715
19,0.004,255,0,255,255,0.193,1.055,510
20,0.085,255,0,255,255,1.238,21.621,10455
21,0.312,255,0,255,255,2.207,79.628,38505
22,0.008,255,0,255,255,0.348,2.109,1020
23,0.329,255,0,255,255,2.282,83.846,40545
24,0.054,255,0,255,255,0.927,13.711,6630
25,0.012,255,0,255,255,0.386,3.164,1530
26,0.002,255,0,255,255,0.129,0.527,255
27,0.002,255,0,255,255,0.129,0.527,255
28,0.008,255,0,255,255,0.348,2.109,1020
29,0.023,255,0,255,255,0.568,5.801,2805
30,0.006,255,0,255,255,0.348,1.582,765
31,0.385,255,0,255,255,2.491,98.085,47430
32,0.004,255,0,255,255,0.193,1.055,510
33,0.002,255,0,255,255,0.129,0.527,255
34,0.240,255,0,255,255,1.854,61.171,29580
35,0.023,255,0,255,255,0.632,5.801,2805
36,0.002,255,0,255,255,0.129,0.527,255
37,0.014,255,0,255,255,0.530,3.691,1785
38,0.108,255,0,255,255,1.328,27.421,13260
39,0.157,255,0,255,255,1.446,40.078,19380
40,0.004,255,0,255,255,0.193,1.055,510
41,0.006,255,0,255,255,0.322,1.582,765
42,0.037,255,0,255,255,0.670,9.492,4590
43,0.045,255,0,255,255,0.943,11.601,5610
44,0.006,255,0,255,255,0.257,1.582,765
45,0.300,255,0,255,255,2.169,76.464,36975
46,0.048,255,0,255,255,0.798,12.129,5865
47,0.124,255,0,255,255,1.366,31.640,15300
48,0.006,255,0,255,255,0.284,1.582,765
49,0.006,255,0,255,255,0.284,1.582,765
50,0.248,255,0,255,255,2.131,63.280,30600
51,0.002,255,0,255,255,0.129,0.527,255
52,0.025,255,0,255,255,0.696,6.328,3060
53,0.037,255,0,255,255,0.734,9.492,4590
54,0.002,255,0,255,255,0.129,0.527,255
55,0.008,255,0,255,255,0.322,2.109,1020
56,0.012,255,0,255,255,0.477,3.164,1530
57,0.012,255,0,255,255,0.439,3.164,1530
58,0.033,255,0,255,255,0.632,8.437,4080
59,0.141,255,0,255,255,1.484,35.859,17340
60,0.399,255,0,255,255,2.522,101.776,49215
61,0.010,255,0,255,255,0.348,2.637,1275
62,0.064,255,0,255,255,0.954,16.347,7905
63,0.010,255,0,255,255,0.386,2.637,1275
64,0.037,255,0,255,255,1.147,9.492,4590
65,0.012,255,0,255,255,0.514,3.164,1530
66,0.060,255,0,255,255,0.889,15.293,7395
67,0.006,255,0,255,255,0.257,1.582,765
68,0.304,255,0,255,255,2.158,77.518,37485
69,0.002,255,0,255,255,0.129,0.527,255
70,0.002,255,0,255,255,0.129,0.527,255
71,0.004,255,0,255,255,0.257,1.055,510
72,0.010,255,0,255,255,0.514,2.637,1275
73,0.006,255,0,255,255,0.386,1.582,765
74,0.002,255,0,255,255,0.129,0.527,255
75,0.002,255,0,255,255,0.129,0.527,255
76,0.017,255,0,255,255,0.605,4.219,2040
77,0.008,255,0,255,255,0.348,2.109,1020
78,0.002,255,0,255,255,0.129,0.527,255
79,0.095,255,0,255,255,1.211,24.257,11730
80,0.008,255,0,255,255,0.348,2.109,1020
81,0.093,255,0,255,255,1.446,23.730,11475
82,0.085,255,0,255,255,1.109,21.621,10455
83,0.002,255,0,255,255,0.129,0.527,255
84,0.012,255,0,255,255,0.450,3.164,1530
85,0.066,255,0,255,255,0.889,16.875,8160
86,0.002,255,0,255,255,0.129,0.527,255
