 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.124,255,0,255,255,1.612,31.640,15300
2,0.002,255,0,255,255,0.129,0.527,255
3,0.219,255,0,255,255,2.298,55.898,27030
4,0.045,255,0,255,255,1.082,11.601,5610
5,0.215,255,0,255,255,2.142,54.843,26520
6,0.002,255,0,255,255,0.129,0.527,255
7,0.002,255,0,255,255,0.129,0.527,255
8,0.012,255,0,255,255,0.477,3.164,1530
9,0.002,255,0,255,255,0.129,0.527,255
10,0.180,255,0,255,255,1.794,45.878,22185
11,0.176,255,0,255,255,1.832,44.824,21675
12,0.039,255,0,255,255,0.852,10.019,4845
13,0.004,255,0,255,255,0.257,1.055,510
14,0.238,255,0,255,255,2.142,60.644,29325
15,0.012,255,0,255,255,0.439,3.164,1530
16,0.128,255,0,255,255,1.366,32.695,15810
17,0.012,255,0,255,255,0.514,3.164,1530
18,0.438,255,0,255,255,3.906,111.795,54060
19,0.021,255,0,255,255,0.514,5.273,2550
20,0.240,255,0,255,255,1.859,61.171,29580
21,0.014,255,0,255,255,0.514,3.691,1785
22,0.023,255,0,255,255,0.670,5.801,2805
23,0.010,255,0,255,255,0.322,2.637,1275
24,0.089,255,0,255,255,1.586,22.675,10965
25,0.025,255,0,255,255,0.579,6.328,3060
26,0.002,255,0,255,255,0.129,0.527,255
27,0.006,255,0,255,255,0.257,1.582,765
28,0.405,255,0,255,255,2.956,103.358,49980
29,0.004,255,0,255,255,0.193,1.055,510
30,0.002,255,0,255,255,0.129,0.527,255
31,0.048,255,0,255,255,1.082,12.129,5865
32,0.002,255,0,255,255,0.129,0.527,255
33,0.321,255,0,255,255,2.282,81.737,39525
34,0.010,255,0,255,255,0.477,2.637,1275
35,0.409,255,0,255,255,2.662,104.413,50490
36,0.006,255,0,255,255,0.386,1.582,765
37,0.006,255,0,255,255,0.322,1.582,765
38,0.043,255,0,255,255,0.734,11.074,5355
39,0.465,255,0,255,255,2.646,118.651,57375
40,0.002,255,0,255,255,0.129,0.527,255
41,0.215,255,0,255,255,1.859,54.843,26520
42,0.509,255,0,255,255,4.473,129.725,62730
43,0.002,255,0,255,255,0.129,0.527,255
44,0.002,255,0,255,255,0.129,0.527,255
