 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.012,255,0,255,255,0.514,3.164,1530
2,0.002,255,0,255,255,0.129,0.527,255
3,0.002,255,0,255,255,0.129,0.527,255
4,0.014,255,0,255,255,0.413,3.691,1785
5,0.006,255,0,255,255,0.386,1.582,765
6,0.002,255,0,255,255,0.129,0.527,255
7,0.006,255,0,255,255,0.311,1.582,765
8,0.017,255,0,255,255,0.477,4.219,2040
9,0.002,255,0,255,255,0.129,0.527,255
10,0.004,255,0,255,255,0.193,1.055,510
11,0.056,255,0,255,255,1.056,14.238,6885
12,0.045,255,0,255,255,0.734,11.601,5610
13,0.048,255,0,255,255,0.889,12.129,5865
14,0.374,255,0,255,255,2.892,95.448,46155
15,0.037,255,0,255,255,1.007,9.492,4590
16,0.010,255,0,255,255,0.348,2.637,1275
17,0.035,255,0,255,255,0.696,8.965,4335
18,0.019,255,0,255,255,0.477,4.746,2295
19,0.079,255,0,255,255,1.109,20.039,9690
20,0.025,255,0,255,255,0.530,6.328,3060
21,0.029,255,0,255,255,0.568,7.383,3570
22,0.383,255,0,255,255,3.176,97.557,47175
23,0.002,255,0,255,255,0.129,0.527,255
24,0.004,255,0,255,255,0.257,1.055,510
25,0.037,255,0,255,255,0.670,9.492,4590
26,0.008,255,0,255,255,0.322,2.109,1020
27,0.054,255,0,255,255,0.927,13.711,6630
28,0.360,255,0,255,255,2.555,91.757,44370
29,0.184,255,0,255,255,1.730,46.933,22695
30,0.004,255,0,255,255,0.257,1.055,510
31,0.430,255,0,255,255,2.737,109.686,53040
32,0.037,255,0,255,255,0.734,9.492,4590
33,0.149,255,0,255,255,1.473,37.968,18360
34,0.017,255,0,255,255,0.413,4.219,2040
35,0.008,255,0,255,255,0.257,2.109,1020
36,0.021,255,0,255,255,0.514,5.273,2550
37,0.002,255,0,255,255,0.129,0.527,255
38,0.039,255,0,255,255,0.685,10.019,4845
39,0.017,255,0,255,255,0.477,4.219,2040
40,0.002,255,0,255,255,0.129,0.527,255
41,0.021,255,0,255,255,0.541,5.273,2550
42,0.017,255,0,255,255,0.450,4.219,2040
43,0.017,255,0,255,255,0.477,4.219,2040
44,0.006,255,0,255,255,0.257,1.582,765
45,0.246,255,0,255,255,2.255,62.753,30345
46,0.091,255,0,255,255,1.200,23.203,11220
47,0.052,255,0,255,255,0.798,13.183,6375
48,0.031,255,0,255,255,0.643,7.910,3825
49,0.118,255,0,255,255,1.601,30.058,14535
50,0.033,255,0,255,255,0.632,8.437,4080
51,0.043,255,0,255,255,0.761,11.074,5355
52,0.021,255,0,255,255,0.503,5.273,2550
53,0.002,255,0,255,255,0.129,0.527,255
54,0.004,255,0,255,255,0.220,1.055,510
55,0.031,255,0,255,255,0.632,7.910,3825
56,0.041,255,0,255,255,0.863,10.547,5100
57,0.039,255,0,255,255,0.852,10.019,4845
58,0.002,255,0,255,255,0.129,0.527,255
59,0.004,255,0,255,255,0.220,1.055,510
60,0.008,255,0,255,255,0.386,2.109,1020
61,0.002,255,0,255,255,0.129,0.527,255
62,0.298,255,0,255,255,2.078,75.936,36720
63,0.017,255,0,255,255,0.605,4.219,2040
64,0.019,255,0,255,255,0.605,4.746,2295
65,0.035,255,0,255,255,0.761,8.965,4335
66,0.056,255,0,255,255,0.927,14.238,6885
67,0.008,255,0,255,255,0.348,2.109,1020
68,0.083,255,0,255,255,1.238,21.093,10200
69,0.012,255,0,255,255,0.514,3.164,1530
70,0.021,255,0,255,255,0.541,5.273,2550
71,0.019,255,0,255,255,0.605,4.746,2295
72,0.048,255,0,255,255,0.798,12.129,5865
73,0.050,255,0,255,255,0.825,12.656,6120
74,0.161,255,0,255,255,1.548,41.132,19890
75,0.014,255,0,255,255,0.514,3.691,1785
76,0.004,255,0,255,255,0.193,1.055,510
77,0.023,255,0,255,255,0.514,5.801,2805
78,0.265,255,0,255,255,2.142,67.499,32640
79,0.023,255,0,255,255,0.503,5.801,2805
80,0.039,255,0,255,255,0.734,10.019,4845
81,0.132,255,0,255,255,1.575,33.750,16320
82,0.039,255,0,255,255,0.696,10.019,4845
83,0.184,255,0,255,255,1.741,46.933,22695
84,0.488,255,0,255,255,4.141,124.451,60180
85,0.014,255,0,255,255,0.413,3.691,1785
86,0.004,255,0,255,255,0.220,1.055,510
87,0.017,255,0,255,255,0.605,4.219,2040
88,0.010,255,0,255,255,0.348,2.637,1275
89,0.246,255,0,255,255,2.641,62.753,30345
90,0.325,255,0,255,255,2.320,82.792,40035
91,0.370,255,0,255,255,2.502,94.393,45645
92,0.021,255,0,255,255,0.477,5.273,2550
93,0.192,255,0,255,255,1.612,49.042,23715
94,0.002,255,0,255,255,0.129,0.527,255
95,0.002,255,0,255,255,0.129,0.527,255
96,0.050,255,0,255,255,0.787,12.656,6120
97,0.048,255,0,255,255,0.825,12.129,5865
98,0.008,255,0,255,255,0.322,2.109,1020
99,0.029,255,0,255,255,0.605,7.383,3570
100,0.048,255,0,255,255,1.173,12.129,5865
101,0.023,255,0,255,255,0.514,5.801,2805
102,0.035,255,0,255,255,0.659,8.965,4335
103,0.006,255,0,255,255,0.257,1.582,765
104,0.033,255,0,255,255,0.632,8.437,4080
105,0.012,255,0,255,255,0.477,3.164,1530
106,0.110,255,0,255,255,1.393,27.949,13515
107,0.048,255,0,255,255,0.761,12.129,5865
108,0.188,255,0,255,255,1.896,47.988,23205
109,0.012,255,0,255,255,0.386,3.164,1530
110,0.002,255,0,255,255,0.129,0.527,255
111,0.029,255,0,255,255,0.605,7.383,3570
112,0.002,255,0,255,255,0.129,0.527,255
113,0.060,255,0,255,255,1.007,15.293,7395
114,0.041,255,0,255,255,0.761,10.547,5100
