 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.008,255,0,255,255,0.348,2.109,1020
2,0.004,255,0,255,255,0.220,1.055,510
3,0.004,255,0,255,255,0.193,1.055,510
4,0.002,255,0,255,255,0.129,0.527,255
5,0.002,255,0,255,255,0.129,0.527,255
6,0.050,255,0,255,255,0.761,12.656,6120
7,0.159,255,0,255,255,1.548,40.605,19635
8,0.014,255,0,255,255,0.386,3.691,1785
9,0.004,255,0,255,255,0.193,1.055,510
10,0.035,255,0,255,255,0.696,8.965,4335
11,0.014,255,0,255,255,0.439,3.691,1785
12,0.029,255,0,255,255,0.568,7.383,3570
13,0.039,255,0,255,255,0.696,10.019,4845
14,0.014,255,0,255,255,0.413,3.691,1785
15,0.017,255,0,255,255,0.450,4.219,2040
16,0.043,255,0,255,255,0.696,11.074,5355
17,0.089,255,0,255,255,1.071,22.675,10965
18,0.025,255,0,255,255,0.798,6.328,3060
19,0.122,255,0,255,255,1.264,31.113,15045
20,0.019,255,0,255,255,0.514,4.746,2295
21,0.031,255,0,255,255,0.670,7.910,3825
22,0.093,255,0,255,255,1.071,23.730,11475
23,0.010,255,0,255,255,0.386,2.637,1275
24,0.006,255,0,255,255,0.257,1.582,765
25,0.329,255,0,255,255,2.169,83.846,40545
26,0.002,255,0,255,255,0.129,0.527,255
27,0.070,255,0,255,255,0.980,17.929,8670
28,0.083,255,0,255,255,1.034,21.093,10200
29,0.002,255,0,255,255,0.129,0.527,255
30,0.017,255,0,255,255,0.514,4.219,2040
31,0.143,255,0,255,255,1.430,36.386,17595
32,0.033,255,0,255,255,0.632,8.437,4080
33,0.120,255,0,255,255,1.253,30.586,14790
34,0.165,255,0,255,255,2.025,42.187,20400
35,0.002,255,0,255,255,0.129,0.527,255
36,0.008,255,0,255,255,0.348,2.109,1020
37,0.027,255,0,255,255,0.568,6.855,3315
38,0.006,255,0,255,255,0.257,1.582,765
39,0.199,255,0,255,255,1.794,50.624,24480
40,0.128,255,0,255,255,1.355,32.695,15810
41,0.029,255,0,255,255,0.568,7.383,3570
42,0.052,255,0,255,255,0.787,13.183,6375
43,0.035,255,0,255,255,0.632,8.965,4335
44,0.079,255,0,255,255,1.056,20.039,9690
45,0.010,255,0,255,255,0.439,2.637,1275
46,0.014,255,0,255,255,0.450,3.691,1785
47,0.064,255,0,255,255,0.916,16.347,7905
48,0.199,255,0,255,255,1.692,50.624,24480
49,0.010,255,0,255,255,0.386,2.637,1275
50,0.014,255,0,255,255,0.477,3.691,1785
51,0.002,255,0,255,255,0.129,0.527,255
52,0.035,255,0,255,255,0.798,8.965,4335
53,0.012,255,0,255,255,0.413,3.164,1530
54,0.008,255,0,255,255,0.257,2.109,1020
55,0.029,255,0,255,255,0.670,7.383,3570
56,0.008,255,0,255,255,0.322,2.109,1020
57,0.116,255,0,255,255,1.457,29.531,14280
58,0.108,255,0,255,255,1.162,27.421,13260
59,0.045,255,0,255,255,1.071,11.601,5610
60,0.031,255,0,255,255,0.927,7.910,3825
61,0.008,255,0,255,255,0.257,2.109,1020
62,0.019,255,0,255,255,0.541,4.746,2295
63,0.031,255,0,255,255,0.670,7.910,3825
64,0.095,255,0,255,255,1.125,24.257,11730
65,0.056,255,0,255,255,0.825,14.238,6885
66,0.064,255,0,255,255,0.878,16.347,7905
67,0.083,255,0,255,255,1.045,21.093,10200
68,0.062,255,0,255,255,0.889,15.820,7650
69,0.004,255,0,255,255,0.257,1.055,510
70,0.029,255,0,255,255,0.632,7.383,3570
71,0.017,255,0,255,255,0.477,4.219,2040
72,0.002,255,0,255,255,0.129,0.527,255
73,0.017,255,0,255,255,0.477,4.219,2040
74,0.002,255,0,255,255,0.129,0.527,255
75,0.008,255,0,255,255,0.348,2.109,1020
76,0.002,255,0,255,255,0.129,0.527,255
77,0.054,255,0,255,255,0.889,13.711,6630
78,0.002,255,0,255,255,0.129,0.527,255
79,0.004,255,0,255,255,0.220,1.055,510
80,0.002,255,0,255,255,0.129,0.527,255
81,0.002,255,0,255,255,0.129,0.527,255
82,0.072,255,0,255,255,1.366,18.457,8925
83,0.017,255,0,255,255,0.477,4.219,2040
84,0.008,255,0,255,255,0.348,2.109,1020
85,0.002,255,0,255,255,0.129,0.527,255
86,0.068,255,0,255,255,0.943,17.402,8415
87,0.145,255,0,255,255,1.393,36.914,17850
88,0.008,255,0,255,255,0.348,2.109,1020
89,0.019,255,0,255,255,0.477,4.746,2295
90,0.050,255,0,255,255,0.825,12.656,6120
91,0.004,255,0,255,255,0.193,1.055,510
92,0.023,255,0,255,255,0.605,5.801,2805
93,0.006,255,0,255,255,0.348,1.582,765
94,0.039,255,0,255,255,0.734,10.019,4845
95,0.017,255,0,255,255,0.477,4.219,2040
96,0.008,255,0,255,255,0.322,2.109,1020
97,0.010,255,0,255,255,0.322,2.637,1275
98,0.004,255,0,255,255,0.193,1.055,510
99,0.045,255,0,255,255,0.723,11.601,5610
100,0.027,255,0,255,255,0.605,6.855,3315
101,0.029,255,0,255,255,0.632,7.383,3570
102,0.017,255,0,255,255,0.477,4.219,2040
103,0.045,255,0,255,255,0.863,11.601,5610
104,0.006,255,0,255,255,0.322,1.582,765
105,0.014,255,0,255,255,0.530,3.691,1785
106,0.023,255,0,255,255,0.514,5.801,2805
107,0.006,255,0,255,255,0.257,1.582,765
108,0.045,255,0,255,255,0.927,11.601,5610
109,0.041,255,0,255,255,0.723,10.547,5100
110,0.004,255,0,255,255,0.193,1.055,510
111,0.004,255,0,255,255,0.220,1.055,510
112,0.023,255,0,255,255,0.541,5.801,2805
113,0.019,255,0,255,255,0.450,4.746,2295
114,0.176,255,0,255,255,1.612,44.824,21675
115,0.019,255,0,255,255,0.450,4.746,2295
116,0.093,255,0,255,255,1.162,23.730,11475
117,0.010,255,0,255,255,0.386,2.637,1275
118,0.023,255,0,255,255,0.514,5.801,2805
119,0.070,255,0,255,255,0.980,17.929,8670
120,0.207,255,0,255,255,1.666,52.734,25500
121,0.008,255,0,255,255,0.386,2.109,1020
122,0.019,255,0,255,255,0.477,4.746,2295
123,0.012,255,0,255,255,0.477,3.164,1530
124,0.002,255,0,255,255,0.129,0.527,255
125,0.004,255,0,255,255,0.193,1.055,510
126,0.118,255,0,255,255,1.253,30.058,14535
127,0.072,255,0,255,255,0.980,18.457,8925
128,0.006,255,0,255,255,0.257,1.582,765
129,0.048,255,0,255,255,0.825,12.129,5865
130,0.116,255,0,255,255,1.302,29.531,14280
131,0.025,255,0,255,255,0.541,6.328,3060
132,0.008,255,0,255,255,0.386,2.109,1020
133,0.002,255,0,255,255,0.129,0.527,255
134,0.017,255,0,255,255,0.413,4.219,2040
135,0.012,255,0,255,255,0.579,3.164,1530
136,0.002,255,0,255,255,0.129,0.527,255
137,0.077,255,0,255,255,1.007,19.511,9435
138,0.002,255,0,255,255,0.129,0.527,255
139,0.014,255,0,255,255,0.477,3.691,1785
140,0.035,255,0,255,255,0.696,8.965,4335
141,0.031,255,0,255,255,0.670,7.910,3825
142,0.077,255,0,255,255,1.007,19.511,9435
143,0.002,255,0,255,255,0.129,0.527,255
144,0.017,255,0,255,255,0.413,4.219,2040
145,0.012,255,0,255,255,0.413,3.164,1530
146,0.002,255,0,255,255,0.129,0.527,255
147,0.012,255,0,255,255,0.386,3.164,1530
148,0.006,255,0,255,255,0.257,1.582,765
149,0.002,255,0,255,255,0.129,0.527,255
150,0.048,255,0,255,255,0.825,12.129,5865
151,0.087,255,0,255,255,1.136,22.148,10710
152,0.089,255,0,255,255,1.082,22.675,10965
153,0.091,255,0,255,255,1.109,23.203,11220
154,0.006,255,0,255,255,0.257,1.582,765
155,0.010,255,0,255,255,0.386,2.637,1275
156,0.072,255,0,255,255,1.056,18.457,8925
157,0.014,255,0,255,255,0.386,3.691,1785
158,0.002,255,0,255,255,0.129,0.527,255
159,0.037,255,0,255,255,0.798,9.492,4590
160,0.174,255,0,255,255,1.559,44.296,21420
161,0.041,255,0,255,255,0.696,10.547,5100
162,0.002,255,0,255,255,0.129,0.527,255
163,0.184,255,0,255,255,1.612,46.933,22695
164,0.052,255,0,255,255,0.814,13.183,6375
165,0.002,255,0,255,255,0.129,0.527,255
166,0.008,255,0,255,255,0.322,2.109,1020
167,0.037,255,0,255,255,0.889,9.492,4590
168,0.023,255,0,255,255,0.632,5.801,2805
169,0.008,255,0,255,255,0.257,2.109,1020
170,0.004,255,0,255,255,0.193,1.055,510
171,0.021,255,0,255,255,0.514,5.273,2550
172,0.019,255,0,255,255,0.477,4.746,2295
173,0.027,255,0,255,255,0.594,6.855,3315
174,0.014,255,0,255,255,0.450,3.691,1785
175,0.064,255,0,255,255,0.954,16.347,7905
176,0.002,255,0,255,255,0.129,0.527,255
177,0.064,255,0,255,255,0.889,16.347,7905
178,0.002,255,0,255,255,0.129,0.527,255
179,0.014,255,0,255,255,0.386,3.691,1785
180,0.033,255,0,255,255,0.643,8.437,4080
181,0.029,255,0,255,255,0.605,7.383,3570
182,0.023,255,0,255,255,0.670,5.801,2805
183,0.008,255,0,255,255,0.257,2.109,1020
184,0.002,255,0,255,255,0.129,0.527,255
185,0.004,255,0,255,255,0.257,1.055,510
186,0.035,255,0,255,255,0.670,8.965,4335
187,0.021,255,0,255,255,0.503,5.273,2550
188,0.105,255,0,255,255,1.125,26.894,13005
189,0.017,255,0,255,255,0.477,4.219,2040
190,0.002,255,0,255,255,0.129,0.527,255
191,0.093,255,0,255,255,1.109,23.730,11475
192,0.017,255,0,255,255,0.450,4.219,2040
193,0.006,255,0,255,255,0.386,1.582,765
194,0.004,255,0,255,255,0.220,1.055,510
195,0.012,255,0,255,255,0.477,3.164,1530
196,0.008,255,0,255,255,0.348,2.109,1020
197,0.060,255,0,255,255,0.905,15.293,7395
198,0.010,255,0,255,255,0.413,2.637,1275
199,0.139,255,0,255,255,1.382,35.332,17085
200,0.041,255,0,255,255,0.696,10.547,5100
201,0.006,255,0,255,255,0.257,1.582,765
202,0.017,255,0,255,255,0.477,4.219,2040
203,0.060,255,0,255,255,0.889,15.293,7395
204,0.021,255,0,255,255,0.579,5.273,2550
205,0.023,255,0,255,255,0.541,5.801,2805
206,0.033,255,0,255,255,0.643,8.437,4080
207,0.039,255,0,255,255,0.723,10.019,4845
208,0.002,255,0,255,255,0.129,0.527,255
209,0.021,255,0,255,255,0.503,5.273,2550
