 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.056,255,0,255,255,1.147,14.238,6885
2,0.033,255,0,255,255,0.670,8.437,4080
3,0.029,255,0,255,255,0.643,7.383,3570
4,0.027,255,0,255,255,0.696,6.855,3315
5,0.002,255,0,255,255,0.129,0.527,255
6,0.023,255,0,255,255,0.503,5.801,2805
7,0.039,255,0,255,255,0.787,10.019,4845
8,0.004,255,0,255,255,0.257,1.055,510
9,0.006,255,0,255,255,0.257,1.582,765
10,0.014,255,0,255,255,0.605,3.691,1785
11,0.031,255,0,255,255,0.605,7.910,3825
12,0.045,255,0,255,255,0.927,11.601,5610
13,0.050,255,0,255,255,0.863,12.656,6120
14,0.002,255,0,255,255,0.129,0.527,255
15,0.008,255,0,255,255,0.348,2.109,1020
16,0.062,255,0,255,255,0.927,15.820,7650
17,0.023,255,0,255,255,0.863,5.801,2805
18,0.002,255,0,255,255,0.129,0.527,255
19,0.002,255,0,255,255,0.129,0.527,255
20,0.019,255,0,255,255,0.643,4.746,2295
21,0.023,255,0,255,255,0.852,5.801,2805
22,0.006,255,0,255,255,0.257,1.582,765
23,0.008,255,0,255,255,0.348,2.109,1020
24,0.031,255,0,255,255,0.594,7.910,3825
25,0.017,255,0,255,255,0.670,4.219,2040
26,0.033,255,0,255,255,0.761,8.437,4080
27,0.056,255,0,255,255,0.836,14.238,6885
28,0.031,255,0,255,255,0.798,7.910,3825
29,0.002,255,0,255,255,0.129,0.527,255
30,0.062,255,0,255,255,0.980,15.820,7650
31,0.027,255,0,255,255,0.798,6.855,3315
32,0.006,255,0,255,255,0.322,1.582,765
33,0.017,255,0,255,255,0.413,4.219,2040
34,0.093,255,0,255,255,1.200,23.730,11475
35,0.045,255,0,255,255,0.761,11.601,5610
36,0.019,255,0,255,255,0.605,4.746,2295
37,0.002,255,0,255,255,0.129,0.527,255
38,0.002,255,0,255,255,0.129,0.527,255
39,0.010,255,0,255,255,0.514,2.637,1275
40,0.056,255,0,255,255,0.980,14.238,6885
41,0.072,255,0,255,255,1.559,18.457,8925
42,0.002,255,0,255,255,0.129,0.527,255
43,0.006,255,0,255,255,0.386,1.582,765
44,0.021,255,0,255,255,0.541,5.273,2550
45,0.159,255,0,255,255,2.395,40.605,19635
46,0.029,255,0,255,255,0.568,7.383,3570
47,0.041,255,0,255,255,0.734,10.547,5100
48,0.033,255,0,255,255,0.787,8.437,4080
49,0.025,255,0,255,255,0.632,6.328,3060
50,0.033,255,0,255,255,0.825,8.437,4080
51,0.012,255,0,255,255,0.514,3.164,1530
52,0.093,255,0,255,255,1.189,23.730,11475
53,0.006,255,0,255,255,0.348,1.582,765
54,0.033,255,0,255,255,0.750,8.437,4080
55,0.004,255,0,255,255,0.193,1.055,510
56,0.048,255,0,255,255,0.863,12.129,5865
57,0.153,255,0,255,255,2.191,39.023,18870
58,0.041,255,0,255,255,0.696,10.547,5100
59,0.236,255,0,255,255,2.566,60.116,29070
60,0.010,255,0,255,255,0.386,2.637,1275
61,0.048,255,0,255,255,0.825,12.129,5865
62,0.033,255,0,255,255,0.825,8.437,4080
63,0.004,255,0,255,255,0.257,1.055,510
64,0.145,255,0,255,255,1.843,36.914,17850
65,0.002,255,0,255,255,0.129,0.527,255
66,0.041,255,0,255,255,0.825,10.547,5100
67,0.045,255,0,255,255,0.863,11.601,5610
68,0.025,255,0,255,255,0.605,6.328,3060
69,0.031,255,0,255,255,0.734,7.910,3825
70,0.021,255,0,255,255,0.632,5.273,2550
71,0.004,255,0,255,255,0.193,1.055,510
72,0.519,255,0,255,255,2.812,132.361,64005
73,0.130,255,0,255,255,1.548,33.222,16065
74,0.037,255,0,255,255,0.761,9.492,4590
75,0.008,255,0,255,255,0.386,2.109,1020
76,0.039,255,0,255,255,0.696,10.019,4845
77,0.002,255,0,255,255,0.129,0.527,255
78,0.025,255,0,255,255,0.541,6.328,3060
79,0.587,255,0,255,255,3.906,149.764,72420
80,0.008,255,0,255,255,0.348,2.109,1020
81,0.002,255,0,255,255,0.129,0.527,255
82,0.012,255,0,255,255,0.386,3.164,1530
83,0.004,255,0,255,255,0.193,1.055,510
84,0.008,255,0,255,255,0.348,2.109,1020
85,0.128,255,0,255,255,1.446,32.695,15810
86,0.004,255,0,255,255,0.220,1.055,510
87,0.002,255,0,255,255,0.129,0.527,255
88,0.035,255,0,255,255,0.734,8.965,4335
89,0.056,255,0,255,255,1.184,14.238,6885
90,0.391,255,0,255,255,3.637,99.667,48195
91,0.006,255,0,255,255,0.257,1.582,765
92,0.021,255,0,255,255,0.477,5.273,2550
93,0.060,255,0,255,255,1.430,15.293,7395
94,0.052,255,0,255,255,1.222,13.183,6375
95,0.002,255,0,255,255,0.129,0.527,255
96,0.062,255,0,255,255,0.916,15.820,7650
97,0.050,255,0,255,255,0.852,12.656,6120
98,0.002,255,0,255,255,0.129,0.527,255
99,0.039,255,0,255,255,0.863,10.019,4845
100,0.091,255,0,255,255,1.211,23.203,11220
101,0.002,255,0,255,255,0.129,0.527,255
102,0.147,255,0,255,255,1.510,37.441,18105
103,0.002,255,0,255,255,0.129,0.527,255
104,0.035,255,0,255,255,0.707,8.965,4335
105,0.064,255,0,255,255,1.355,16.347,7905
106,0.031,255,0,255,255,0.761,7.910,3825
107,0.412,255,0,255,255,2.593,104.940,50745
108,0.058,255,0,255,255,0.889,14.765,7140
109,0.031,255,0,255,255,0.605,7.910,3825
110,0.101,255,0,255,255,1.200,25.839,12495
111,0.029,255,0,255,255,0.670,7.383,3570
112,0.105,255,0,255,255,1.446,26.894,13005
113,0.048,255,0,255,255,0.787,12.129,5865
114,0.054,255,0,255,255,1.249,13.711,6630
115,0.035,255,0,255,255,0.889,8.965,4335
116,0.033,255,0,255,255,0.670,8.437,4080
117,0.114,255,0,255,255,1.983,29.004,14025
118,0.033,255,0,255,255,0.761,8.437,4080
119,0.010,255,0,255,255,0.322,2.637,1275
120,0.103,255,0,255,255,1.200,26.367,12750
121,0.008,255,0,255,255,0.322,2.109,1020
