 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.068,255,0,255,255,1.082,17.402,8415
2,0.002,255,0,255,255,0.129,0.527,255
3,0.041,255,0,255,255,0.723,10.547,5100
4,0.002,255,0,255,255,0.129,0.527,255
5,0.002,255,0,255,255,0.129,0.527,255
6,0.002,255,0,255,255,0.129,0.527,255
7,0.008,255,0,255,255,0.450,2.109,1020
8,0.002,255,0,255,255,0.129,0.527,255
9,0.002,255,0,255,255,0.129,0.527,255
10,0.151,255,0,255,255,1.881,38.496,18615
11,0.031,255,0,255,255,0.632,7.910,3825
12,0.010,255,0,255,255,0.413,2.637,1275
13,0.031,255,0,255,255,0.670,7.910,3825
14,0.114,255,0,255,255,1.597,29.004,14025
15,0.052,255,0,255,255,0.825,13.183,6375
16,0.128,255,0,255,255,1.419,32.695,15810
17,0.004,255,0,255,255,0.220,1.055,510
18,0.002,255,0,255,255,0.129,0.527,255
19,0.143,255,0,255,255,1.521,36.386,17595
20,0.002,255,0,255,255,0.129,0.527,255
21,0.004,255,0,255,255,0.220,1.055,510
22,0.004,255,0,255,255,0.193,1.055,510
23,0.004,255,0,255,255,0.257,1.055,510
24,0.019,255,0,255,255,0.541,4.746,2295
25,0.002,255,0,255,255,0.129,0.527,255
26,0.033,255,0,255,255,1.018,8.437,4080
27,0.002,255,0,255,255,0.129,0.527,255
28,0.143,255,0,255,255,1.521,36.386,17595
29,0.002,255,0,255,255,0.129,0.527,255
30,0.014,255,0,255,255,0.605,3.691,1785
31,0.019,255,0,255,255,0.605,4.746,2295
32,0.002,255,0,255,255,0.129,0.527,255
33,0.209,255,0,255,255,2.346,53.261,25755
34,0.070,255,0,255,255,1.404,17.929,8670
35,0.002,255,0,255,255,0.129,0.527,255
36,0.072,255,0,255,255,1.018,18.457,8925
37,0.006,255,0,255,255,0.257,1.582,765
38,0.037,255,0,255,255,0.761,9.492,4590
39,0.045,255,0,255,255,0.889,11.601,5610
40,0.008,255,0,255,255,0.386,2.109,1020
41,0.209,255,0,255,255,1.741,53.261,25755
42,0.099,255,0,255,255,1.200,25.312,12240
43,0.219,255,0,255,255,2.695,55.898,27030
44,0.002,255,0,255,255,0.129,0.527,255
45,0.021,255,0,255,255,0.670,5.273,2550
46,0.128,255,0,255,255,2.089,32.695,15810
47,0.081,255,0,255,255,1.082,20.566,9945
48,0.029,255,0,255,255,1.018,7.383,3570
49,0.002,255,0,255,255,0.129,0.527,255
50,0.085,255,0,255,255,1.071,21.621,10455
51,0.058,255,0,255,255,1.029,14.765,7140
52,0.002,255,0,255,255,0.129,0.527,255
