 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.002,255,0,255,255,0.129,0.527,255
2,0.093,255,0,255,255,1.109,23.730,11475
3,0.017,255,0,255,255,0.503,4.219,2040
4,0.114,255,0,255,255,1.366,29.004,14025
5,0.054,255,0,255,255,0.889,13.711,6630
6,0.010,255,0,255,255,0.348,2.637,1275
7,0.002,255,0,255,255,0.129,0.527,255
8,0.029,255,0,255,255,0.894,7.383,3570
9,0.039,255,0,255,255,0.696,10.019,4845
10,0.083,255,0,255,255,1.109,21.093,10200
11,0.347,255,0,255,255,2.828,88.593,42840
12,0.062,255,0,255,255,0.889,15.820,7650
13,0.017,255,0,255,255,0.761,4.219,2040
14,0.002,255,0,255,255,0.129,0.527,255
15,0.004,255,0,255,255,0.220,1.055,510
16,0.006,255,0,255,255,0.284,1.582,765
17,0.004,255,0,255,255,0.257,1.055,510
18,0.017,255,0,255,255,0.477,4.219,2040
19,0.008,255,0,255,255,0.348,2.109,1020
20,0.037,255,0,255,255,0.707,9.492,4590
21,0.083,255,0,255,255,1.045,21.093,10200
22,0.116,255,0,255,255,1.226,29.531,14280
23,0.027,255,0,255,255,0.568,6.855,3315
24,0.006,255,0,255,255,0.284,1.582,765
25,0.035,255,0,255,255,0.889,8.965,4335
26,0.019,255,0,255,255,0.568,4.746,2295
27,0.054,255,0,255,255,1.238,13.711,6630
28,0.008,255,0,255,255,0.386,2.109,1020
29,0.012,255,0,255,255,0.413,3.164,1530
30,0.045,255,0,255,255,0.863,11.601,5610
31,0.002,255,0,255,255,0.129,0.527,255
32,0.002,255,0,255,255,0.129,0.527,255
33,0.004,255,0,255,255,0.257,1.055,510
34,0.008,255,0,255,255,0.386,2.109,1020
35,0.031,255,0,255,255,0.798,7.910,3825
36,0.004,255,0,255,255,0.193,1.055,510
37,0.099,255,0,255,255,1.211,25.312,12240
38,0.002,255,0,255,255,0.129,0.527,255
39,0.006,255,0,255,255,0.257,1.582,765
40,0.048,255,0,255,255,0.852,12.129,5865
41,0.066,255,0,255,255,0.980,16.875,8160
42,0.002,255,0,255,255,0.129,0.527,255
43,0.035,255,0,255,255,0.632,8.965,4335
44,0.172,255,0,255,255,1.768,43.769,21165
45,0.068,255,0,255,255,1.056,17.402,8415
46,0.012,255,0,255,255,0.386,3.164,1530
47,0.062,255,0,255,255,1.045,15.820,7650
48,0.004,255,0,255,255,0.220,1.055,510
49,0.002,255,0,255,255,0.129,0.527,255
50,0.056,255,0,255,255,0.852,14.238,6885
51,0.037,255,0,255,255,0.761,9.492,4590
52,0.002,255,0,255,255,0.129,0.527,255
53,0.002,255,0,255,255,0.129,0.527,255
54,0.002,255,0,255,255,0.129,0.527,255
55,0.058,255,0,255,255,1.173,14.765,7140
56,0.031,255,0,255,255,0.772,7.910,3825
57,0.064,255,0,255,255,1.018,16.347,7905
58,0.029,255,0,255,255,0.605,7.383,3570
59,0.002,255,0,255,255,0.129,0.527,255
60,0.031,255,0,255,255,0.670,7.910,3825
61,0.012,255,0,255,255,0.348,3.164,1530
62,0.052,255,0,255,255,0.889,13.183,6375
63,0.058,255,0,255,255,0.954,14.765,7140
64,0.035,255,0,255,255,0.707,8.965,4335
65,0.029,255,0,255,255,0.670,7.383,3570
66,0.019,255,0,255,255,0.541,4.746,2295
67,0.004,255,0,255,255,0.220,1.055,510
68,0.019,255,0,255,255,0.568,4.746,2295
69,0.002,255,0,255,255,0.129,0.527,255
70,0.025,255,0,255,255,0.632,6.328,3060
71,0.008,255,0,255,255,0.348,2.109,1020
72,0.068,255,0,255,255,0.980,17.402,8415
73,0.010,255,0,255,255,0.386,2.637,1275
74,0.031,255,0,255,255,0.670,7.910,3825
75,0.105,255,0,255,255,1.355,26.894,13005
76,0.048,255,0,255,255,0.761,12.129,5865
77,0.002,255,0,255,255,0.129,0.527,255
78,0.077,255,0,255,255,0.996,19.511,9435
79,0.139,255,0,255,255,1.393,35.332,17085
80,0.006,255,0,255,255,0.386,1.582,765
81,0.017,255,0,255,255,0.605,4.219,2040
82,0.199,255,0,255,255,1.998,50.624,24480
83,0.002,255,0,255,255,0.129,0.527,255
84,0.002,255,0,255,255,0.129,0.527,255
85,0.025,255,0,255,255,0.605,6.328,3060
86,0.056,255,0,255,255,0.916,14.238,6885
87,0.079,255,0,255,255,1.071,20.039,9690
88,0.031,255,0,255,255,0.696,7.910,3825
89,0.052,255,0,255,255,0.825,13.183,6375
90,0.002,255,0,255,255,0.129,0.527,255
91,0.060,255,0,255,255,0.889,15.293,7395
92,0.108,255,0,255,255,1.200,27.421,13260
93,0.002,255,0,255,255,0.129,0.527,255
94,0.025,255,0,255,255,0.696,6.328,3060
95,0.064,255,0,255,255,1.109,16.347,7905
96,0.105,255,0,255,255,1.377,26.894,13005
97,0.010,255,0,255,255,0.477,2.637,1275
98,0.070,255,0,255,255,1.082,17.929,8670
99,0.021,255,0,255,255,0.579,5.273,2550
100,0.008,255,0,255,255,0.348,2.109,1020
101,0.021,255,0,255,255,0.503,5.273,2550
102,0.048,255,0,255,255,0.787,12.129,5865
103,0.081,255,0,255,255,1.173,20.566,9945
104,0.019,255,0,255,255,0.503,4.746,2295
105,0.070,255,0,255,255,1.045,17.929,8670
106,0.035,255,0,255,255,0.852,8.965,4335
107,0.002,255,0,255,255,0.129,0.527,255
108,0.002,255,0,255,255,0.129,0.527,255
109,0.105,255,0,255,255,1.264,26.894,13005
110,0.002,255,0,255,255,0.129,0.527,255
111,0.070,255,0,255,255,0.980,17.929,8670
112,0.002,255,0,255,255,0.129,0.527,255
113,0.019,255,0,255,255,0.477,4.746,2295
114,0.230,255,0,255,255,2.298,58.534,28305
