 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.399,255,0,255,255,2.914,101.776,49215
2,0.010,255,0,255,255,0.450,2.637,1275
3,0.050,255,0,255,255,0.787,12.656,6120
4,0.012,255,0,255,255,0.413,3.164,1530
5,0.184,255,0,255,255,2.089,46.933,22695
6,0.004,255,0,255,255,0.220,1.055,510
7,0.002,255,0,255,255,0.129,0.527,255
8,0.029,255,0,255,255,0.863,7.383,3570
9,0.002,255,0,255,255,0.129,0.527,255
10,0.186,255,0,255,255,2.619,47.460,22950
11,0.002,255,0,255,255,0.129,0.527,255
12,0.006,255,0,255,255,0.386,1.582,765
13,0.002,255,0,255,255,0.129,0.527,255
14,0.008,255,0,255,255,0.386,2.109,1020
15,0.002,255,0,255,255,0.129,0.527,255
16,0.002,255,0,255,255,0.129,0.527,255
17,0.006,255,0,255,255,0.257,1.582,765
18,0.256,255,0,255,255,2.131,65.390,31620
19,0.190,255,0,255,255,1.870,48.515,23460
20,0.405,255,0,255,255,2.812,103.358,49980
21,0.002,255,0,255,255,0.129,0.527,255
22,0.159,255,0,255,255,1.859,40.605,19635
23,0.002,255,0,255,255,0.129,0.527,255
24,0.048,255,0,255,255,1.018,12.129,5865
25,0.002,255,0,255,255,0.129,0.527,255
26,0.110,255,0,255,255,1.510,27.949,13515
27,0.002,255,0,255,255,0.129,0.527,255
28,0.056,255,0,255,255,0.863,14.238,6885
29,0.050,255,0,255,255,1.200,12.656,6120
30,0.014,255,0,255,255,0.450,3.691,1785
31,0.004,255,0,255,255,0.257,1.055,510
32,0.056,255,0,255,255,0.852,14.238,6885
33,0.002,255,0,255,255,0.129,0.527,255
34,0.019,255,0,255,255,0.514,4.746,2295
35,0.006,255,0,255,255,0.386,1.582,765
36,0.139,255,0,255,255,1.564,35.332,17085
37,0.285,255,0,255,255,2.078,72.772,35190
38,0.004,255,0,255,255,0.193,1.055,510
39,0.002,255,0,255,255,0.129,0.527,255
40,0.486,255,0,255,255,3.149,123.924,59925
41,0.054,255,0,255,255,0.852,13.711,6630
42,0.256,255,0,255,255,2.641,65.390,31620
43,0.031,255,0,255,255,0.734,7.910,3825
44,0.625,255,0,255,255,3.985,159.256,77010
45,0.033,255,0,255,255,0.696,8.437,4080
46,0.002,255,0,255,255,0.129,0.527,255
47,0.006,255,0,255,255,0.311,1.582,765
48,0.236,255,0,255,255,2.180,60.116,29070
49,0.050,255,0,255,255,0.889,12.656,6120
50,0.308,255,0,255,255,2.513,78.573,37995
51,0.006,255,0,255,255,0.257,1.582,765
52,0.008,255,0,255,255,0.348,2.109,1020
53,0.002,255,0,255,255,0.129,0.527,255
54,0.079,255,0,255,255,1.098,20.039,9690
55,0.314,255,0,255,255,2.770,80.155,38760
56,0.420,255,0,255,255,3.236,107.049,51765
57,0.006,255,0,255,255,0.257,1.582,765
58,0.002,255,0,255,255,0.129,0.527,255
59,0.002,255,0,255,255,0.129,0.527,255
60,0.004,255,0,255,255,0.193,1.055,510
61,0.540,255,0,255,255,3.626,137.635,66555
62,0.476,255,0,255,255,3.203,121.287,58650
63,0.281,255,0,255,255,2.593,71.718,34680
64,0.308,255,0,255,255,2.684,78.573,37995
65,0.356,255,0,255,255,3.375,90.702,43860
66,0.401,255,0,255,255,2.657,102.303,49470
67,0.041,255,0,255,255,0.772,10.547,5100
68,0.017,255,0,255,255,0.541,4.219,2040
69,0.021,255,0,255,255,0.863,5.273,2550
70,0.035,255,0,255,255,0.761,8.965,4335
71,0.141,255,0,255,255,1.790,35.859,17340
72,0.136,255,0,255,255,1.666,34.804,16830
73,0.002,255,0,255,255,0.129,0.527,255
74,0.008,255,0,255,255,0.322,2.109,1020
75,0.126,255,0,255,255,1.419,32.168,15555
76,0.012,255,0,255,255,0.579,3.164,1530
77,0.027,255,0,255,255,0.643,6.855,3315
78,0.105,255,0,255,255,1.650,26.894,13005
79,0.019,255,0,255,255,0.477,4.746,2295
80,0.002,255,0,255,255,0.129,0.527,255
81,0.014,255,0,255,255,0.413,3.691,1785
82,0.122,255,0,255,255,1.393,31.113,15045
