 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.002,255,0,255,255,0.129,0.527,255
2,0.002,255,0,255,255,0.129,0.527,255
3,0.002,255,0,255,255,0.129,0.527,255
4,0.031,255,0,255,255,0.670,7.910,3825
5,0.008,255,0,255,255,0.322,2.109,1020
6,0.087,255,0,255,255,1.291,22.148,10710
7,0.014,255,0,255,255,0.579,3.691,1785
8,0.002,255,0,255,255,0.129,0.527,255
9,0.002,255,0,255,255,0.129,0.527,255
10,0.002,255,0,255,255,0.129,0.527,255
11,0.002,255,0,255,255,0.129,0.527,255
12,0.039,255,0,255,255,0.734,10.019,4845
13,0.002,255,0,255,255,0.129,0.527,255
14,0.037,255,0,255,255,0.916,9.492,4590
15,0.006,255,0,255,255,0.257,1.582,765
16,0.068,255,0,255,255,1.071,17.402,8415
17,0.058,255,0,255,255,0.878,14.765,7140
18,0.002,255,0,255,255,0.129,0.527,255
19,0.118,255,0,255,255,1.896,30.058,14535
20,0.033,255,0,255,255,0.670,8.437,4080
21,0.006,255,0,255,255,0.257,1.582,765
22,0.006,255,0,255,255,0.257,1.582,765
23,0.192,255,0,255,255,1.870,49.042,23715
24,0.002,255,0,255,255,0.129,0.527,255
25,0.010,255,0,255,255,0.386,2.637,1275
26,0.002,255,0,255,255,0.129,0.527,255
27,0.085,255,0,255,255,1.355,21.621,10455
28,0.155,255,0,255,255,1.521,39.550,19125
29,0.058,255,0,255,255,0.889,14.765,7140
30,0.019,255,0,255,255,0.514,4.746,2295
31,0.014,255,0,255,255,0.541,3.691,1785
32,0.180,255,0,255,255,1.885,45.878,22185
33,0.025,255,0,255,255,0.670,6.328,3060
34,0.043,255,0,255,255,0.825,11.074,5355
35,0.112,255,0,255,255,1.291,28.476,13770
36,0.072,255,0,255,255,1.018,18.457,8925
37,0.002,255,0,255,255,0.129,0.527,255
38,0.041,255,0,255,255,0.761,10.547,5100
39,0.207,255,0,255,255,2.218,52.734,25500
40,0.002,255,0,255,255,0.129,0.527,255
41,0.087,255,0,255,255,1.532,22.148,10710
42,0.043,255,0,255,255,0.787,11.074,5355
43,0.002,255,0,255,255,0.129,0.527,255
44,0.290,255,0,255,255,2.105,73.827,35700
45,0.118,255,0,255,255,1.355,30.058,14535
46,0.093,255,0,255,255,1.666,23.730,11475
47,0.025,255,0,255,255,0.568,6.328,3060
48,0.126,255,0,255,255,1.559,32.168,15555
49,0.002,255,0,255,255,0.129,0.527,255
50,0.039,255,0,255,255,0.696,10.019,4845
51,0.103,255,0,255,255,1.382,26.367,12750
52,0.002,255,0,255,255,0.129,0.527,255
53,0.002,255,0,255,255,0.129,0.527,255
54,0.006,255,0,255,255,0.322,1.582,765
55,0.043,255,0,255,255,0.878,11.074,5355
56,0.012,255,0,255,255,0.439,3.164,1530
57,0.002,255,0,255,255,0.129,0.527,255
58,0.064,255,0,255,255,0.954,16.347,7905
59,0.151,255,0,255,255,1.495,38.496,18615
60,0.083,255,0,255,255,1.007,21.093,10200
61,0.002,255,0,255,255,0.129,0.527,255
62,0.021,255,0,255,255,0.734,5.273,2550
63,0.004,255,0,255,255,0.193,1.055,510
64,0.002,255,0,255,255,0.129,0.527,255
65,0.002,255,0,255,255,0.129,0.527,255
66,0.008,255,0,255,255,0.386,2.109,1020
67,0.014,255,0,255,255,0.477,3.691,1785
68,0.014,255,0,255,255,0.413,3.691,1785
69,0.002,255,0,255,255,0.129,0.527,255
70,0.108,255,0,255,255,1.226,27.421,13260
71,0.012,255,0,255,255,0.386,3.164,1530
72,0.023,255,0,255,255,0.568,5.801,2805
73,0.002,255,0,255,255,0.129,0.527,255
74,0.058,255,0,255,255,0.889,14.765,7140
75,0.039,255,0,255,255,0.761,10.019,4845
76,0.048,255,0,255,255,0.761,12.129,5865
77,0.050,255,0,255,255,0.916,12.656,6120
78,0.006,255,0,255,255,0.348,1.582,765
79,0.027,255,0,255,255,0.605,6.855,3315
80,0.116,255,0,255,255,1.457,29.531,14280
81,0.006,255,0,255,255,0.386,1.582,765
82,0.004,255,0,255,255,0.257,1.055,510
83,0.027,255,0,255,255,0.643,6.855,3315
84,0.006,255,0,255,255,0.257,1.582,765
85,0.014,255,0,255,255,0.477,3.691,1785
86,0.066,255,0,255,255,0.969,16.875,8160
87,0.054,255,0,255,255,0.825,13.711,6630
88,0.002,255,0,255,255,0.129,0.527,255
89,0.035,255,0,255,255,0.670,8.965,4335
90,0.002,255,0,255,255,0.129,0.527,255
91,0.006,255,0,255,255,0.322,1.582,765
92,0.277,255,0,255,255,2.298,70.663,34170
93,0.006,255,0,255,255,0.257,1.582,765
94,0.048,255,0,255,255,0.889,12.129,5865
95,0.062,255,0,255,255,0.889,15.820,7650
96,0.014,255,0,255,255,0.439,3.691,1785
97,0.060,255,0,255,255,0.878,15.293,7395
98,0.035,255,0,255,255,0.852,8.965,4335
99,0.035,255,0,255,255,0.632,8.965,4335
100,0.093,255,0,255,255,1.275,23.730,11475
101,0.002,255,0,255,255,0.129,0.527,255
102,0.010,255,0,255,255,0.386,2.637,1275
103,0.089,255,0,255,255,1.264,22.675,10965
104,0.002,255,0,255,255,0.129,0.527,255
105,0.006,255,0,255,255,0.257,1.582,765
