 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.017,255,0,255,255,0.503,4.219,2040
2,0.002,255,0,255,255,0.129,0.527,255
3,0.002,255,0,255,255,0.129,0.527,255
4,0.027,255,0,255,255,0.889,6.855,3315
5,0.025,255,0,255,255,0.776,6.328,3060
6,0.066,255,0,255,255,1.071,16.875,8160
7,0.105,255,0,255,255,2.036,26.894,13005
8,0.002,255,0,255,255,0.129,0.527,255
9,0.006,255,0,255,255,0.386,1.582,765
10,0.004,255,0,255,255,0.257,1.055,510
11,0.006,255,0,255,255,0.322,1.582,765
12,0.002,255,0,255,255,0.129,0.527,255
13,0.025,255,0,255,255,0.863,6.328,3060
14,0.097,255,0,255,255,1.264,24.785,11985
15,0.004,255,0,255,255,0.220,1.055,510
16,0.004,255,0,255,255,0.220,1.055,510
17,0.023,255,0,255,255,0.707,5.801,2805
18,0.134,255,0,255,255,1.714,34.277,16575
19,0.002,255,0,255,255,0.129,0.527,255
20,0.002,255,0,255,255,0.129,0.527,255
21,0.002,255,0,255,255,0.129,0.527,255
22,0.002,255,0,255,255,0.129,0.527,255
23,0.060,255,0,255,255,1.018,15.293,7395
24,0.006,255,0,255,255,0.322,1.582,765
25,0.002,255,0,255,255,0.129,0.527,255
26,0.006,255,0,255,255,0.311,1.582,765
27,0.103,255,0,255,255,1.843,26.367,12750
28,0.002,255,0,255,255,0.129,0.527,255
29,0.002,255,0,255,255,0.129,0.527,255
30,0.002,255,0,255,255,0.129,0.527,255
31,0.004,255,0,255,255,0.257,1.055,510
32,0.420,255,0,255,255,4.054,107.049,51765
33,0.004,255,0,255,255,0.220,1.055,510
34,0.033,255,0,255,255,0.798,8.437,4080
35,0.031,255,0,255,255,0.863,7.910,3825
36,0.002,255,0,255,255,0.129,0.527,255
37,0.025,255,0,255,255,0.568,6.328,3060
38,0.118,255,0,255,255,1.313,30.058,14535
39,0.002,255,0,255,255,0.129,0.527,255
40,0.029,255,0,255,255,0.605,7.383,3570
41,0.002,255,0,255,255,0.129,0.527,255
42,0.004,255,0,255,255,0.220,1.055,510
43,0.004,255,0,255,255,0.257,1.055,510
44,0.002,255,0,255,255,0.129,0.527,255
45,0.081,255,0,255,255,1.752,20.566,9945
46,0.002,255,0,255,255,0.129,0.527,255
47,0.407,255,0,255,255,2.517,103.885,50235
48,0.008,255,0,255,255,0.348,2.109,1020
49,0.180,255,0,255,255,1.783,45.878,22185
50,0.002,255,0,255,255,0.129,0.527,255
51,0.002,255,0,255,255,0.129,0.527,255
52,0.004,255,0,255,255,0.193,1.055,510
53,0.002,255,0,255,255,0.129,0.527,255
54,0.002,255,0,255,255,0.129,0.527,255
55,0.002,255,0,255,255,0.129,0.527,255
56,0.002,255,0,255,255,0.129,0.527,255
57,0.004,255,0,255,255,0.193,1.055,510
58,0.002,255,0,255,255,0.129,0.527,255
59,0.027,255,0,255,255,0.825,6.855,3315
60,0.019,255,0,255,255,0.825,4.746,2295
61,0.017,255,0,255,255,0.477,4.219,2040
62,0.033,255,0,255,255,0.954,8.437,4080
63,0.083,255,0,255,255,1.082,21.093,10200
64,0.004,255,0,255,255,0.220,1.055,510
65,0.447,255,0,255,255,2.888,113.905,55080
66,0.002,255,0,255,255,0.129,0.527,255
67,0.010,255,0,255,255,0.541,2.637,1275
68,0.002,255,0,255,255,0.129,0.527,255
69,0.002,255,0,255,255,0.129,0.527,255
70,0.002,255,0,255,255,0.129,0.527,255
71,0.006,255,0,255,255,0.257,1.582,765
72,0.079,255,0,255,255,1.045,20.039,9690
73,0.126,255,0,255,255,1.586,32.168,15555
74,0.002,255,0,255,255,0.129,0.527,255
75,0.041,255,0,255,255,0.965,10.547,5100
76,0.002,255,0,255,255,0.129,0.527,255
77,0.004,255,0,255,255,0.193,1.055,510
78,0.050,255,0,255,255,0.927,12.656,6120
79,0.010,255,0,255,255,0.450,2.637,1275
80,0.012,255,0,255,255,0.503,3.164,1530
81,0.041,255,0,255,255,1.173,10.547,5100
82,0.004,255,0,255,255,0.193,1.055,510
83,0.002,255,0,255,255,0.129,0.527,255
84,0.006,255,0,255,255,0.257,1.582,765
85,0.002,255,0,255,255,0.129,0.527,255
86,0.002,255,0,255,255,0.129,0.527,255
87,0.002,255,0,255,255,0.129,0.527,255
88,0.004,255,0,255,255,0.257,1.055,510
89,0.002,255,0,255,255,0.129,0.527,255
90,0.238,255,0,255,255,2.153,60.644,29325
91,0.085,255,0,255,255,1.302,21.621,10455
92,0.002,255,0,255,255,0.129,0.527,255
93,0.004,255,0,255,255,0.193,1.055,510
94,0.002,255,0,255,255,0.129,0.527,255
95,0.002,255,0,255,255,0.129,0.527,255
96,0.039,255,0,255,255,0.825,10.019,4845
97,0.019,255,0,255,255,0.825,4.746,2295
98,0.012,255,0,255,255,0.568,3.164,1530
99,0.002,255,0,255,255,0.129,0.527,255
100,0.002,255,0,255,255,0.129,0.527,255
101,0.002,255,0,255,255,0.129,0.527,255
102,0.031,255,0,255,255,0.916,7.910,3825
103,0.099,255,0,255,255,1.586,25.312,12240
104,0.012,255,0,255,255,0.579,3.164,1530
105,0.002,255,0,255,255,0.129,0.527,255
106,0.002,255,0,255,255,0.129,0.527,255
107,0.004,255,0,255,255,0.257,1.055,510
108,0.002,255,0,255,255,0.129,0.527,255
109,0.002,255,0,255,255,0.129,0.527,255
110,0.025,255,0,255,255,0.707,6.328,3060
111,0.012,255,0,255,255,0.643,3.164,1530
112,0.052,255,0,255,255,0.927,13.183,6375
113,0.006,255,0,255,255,0.257,1.582,765
114,0.333,255,0,255,255,2.282,84.901,41055
115,0.012,255,0,255,255,0.579,3.164,1530
116,0.002,255,0,255,255,0.129,0.527,255
117,0.004,255,0,255,255,0.220,1.055,510
118,0.035,255,0,255,255,0.670,8.965,4335
119,0.002,255,0,255,255,0.129,0.527,255
120,0.002,255,0,255,255,0.129,0.527,255
121,0.002,255,0,255,255,0.129,0.527,255
122,0.002,255,0,255,255,0.129,0.527,255
123,0.002,255,0,255,255,0.129,0.527,255
124,0.002,255,0,255,255,0.129,0.527,255
125,0.002,255,0,255,255,0.129,0.527,255
126,0.019,255,0,255,255,0.734,4.746,2295
127,0.002,255,0,255,255,0.129,0.527,255
128,0.002,255,0,255,255,0.129,0.527,255
129,0.019,255,0,255,255,0.541,4.746,2295
130,0.074,255,0,255,255,1.211,18.984,9180
131,0.056,255,0,255,255,0.852,14.238,6885
132,0.017,255,0,255,255,0.632,4.219,2040
133,0.012,255,0,255,255,0.643,3.164,1530
134,0.002,255,0,255,255,0.129,0.527,255
135,0.002,255,0,255,255,0.129,0.527,255
136,0.002,255,0,255,255,0.129,0.527,255
137,0.203,255,0,255,255,2.229,51.679,24990
138,0.002,255,0,255,255,0.129,0.527,255
139,0.002,255,0,255,255,0.129,0.527,255
140,0.023,255,0,255,255,0.643,5.801,2805
141,0.002,255,0,255,255,0.129,0.527,255
142,0.002,255,0,255,255,0.129,0.527,255
143,0.002,255,0,255,255,0.129,0.527,255
144,0.004,255,0,255,255,0.193,1.055,510
145,0.002,255,0,255,255,0.129,0.527,255
146,0.039,255,0,255,255,0.734,10.019,4845
147,0.002,255,0,255,255,0.129,0.527,255
148,0.002,255,0,255,255,0.129,0.527,255
149,0.108,255,0,255,255,1.779,27.421,13260
150,0.002,255,0,255,255,0.129,0.527,255
151,0.002,255,0,255,255,0.129,0.527,255
152,0.035,255,0,255,255,0.825,8.965,4335
153,0.002,255,0,255,255,0.129,0.527,255
154,0.219,255,0,255,255,2.191,55.898,27030
155,0.002,255,0,255,255,0.129,0.527,255
156,0.002,255,0,255,255,0.129,0.527,255
157,0.002,255,0,255,255,0.129,0.527,255
158,0.002,255,0,255,255,0.129,0.527,255
159,0.004,255,0,255,255,0.193,1.055,510
160,0.074,255,0,255,255,1.173,18.984,9180
161,0.002,255,0,255,255,0.129,0.527,255
162,0.252,255,0,255,255,2.052,64.335,31110
163,0.010,255,0,255,255,0.348,2.637,1275
164,0.025,255,0,255,255,0.605,6.328,3060
165,0.002,255,0,255,255,0.129,0.527,255
166,0.145,255,0,255,255,1.961,36.914,17850
167,0.004,255,0,255,255,0.257,1.055,510
168,0.054,255,0,255,255,1.162,13.711,6630
169,0.002,255,0,255,255,0.129,0.527,255
170,0.004,255,0,255,255,0.193,1.055,510
171,0.045,255,0,255,255,0.787,11.601,5610
172,0.002,255,0,255,255,0.129,0.527,255
173,0.029,255,0,255,255,0.696,7.383,3570
174,0.017,255,0,255,255,0.734,4.219,2040
175,0.021,255,0,255,255,0.696,5.273,2550
176,0.002,255,0,255,255,0.129,0.527,255
177,0.161,255,0,255,255,2.335,41.132,19890
178,0.002,255,0,255,255,0.129,0.527,255
179,0.039,255,0,255,255,0.943,10.019,4845
180,0.019,255,0,255,255,0.825,4.746,2295
181,0.010,255,0,255,255,0.439,2.637,1275
182,0.002,255,0,255,255,0.129,0.527,255
183,0.004,255,0,255,255,0.220,1.055,510
184,0.002,255,0,255,255,0.129,0.527,255
185,0.002,255,0,255,255,0.129,0.527,255
186,0.097,255,0,255,255,1.280,24.785,11985
187,0.070,255,0,255,255,1.018,17.929,8670
188,0.004,255,0,255,255,0.257,1.055,510
189,0.002,255,0,255,255,0.129,0.527,255
190,0.002,255,0,255,255,0.129,0.527,255
191,0.070,255,0,255,255,0.969,17.929,8670
192,0.002,255,0,255,255,0.129,0.527,255
193,0.004,255,0,255,255,0.257,1.055,510
194,0.002,255,0,255,255,0.129,0.527,255
195,0.002,255,0,255,255,0.129,0.527,255
196,0.002,255,0,255,255,0.129,0.527,255
197,0.004,255,0,255,255,0.193,1.055,510
198,0.217,255,0,255,255,2.748,55.370,26775
199,0.002,255,0,255,255,0.129,0.527,255
200,0.004,255,0,255,255,0.193,1.055,510
201,0.004,255,0,255,255,0.257,1.055,510
202,0.120,255,0,255,255,1.972,30.586,14790
203,0.004,255,0,255,255,0.193,1.055,510
204,0.089,255,0,255,255,1.200,22.675,10965
205,0.157,255,0,255,255,2.218,40.078,19380
206,0.004,255,0,255,255,0.193,1.055,510
207,0.099,255,0,255,255,1.623,25.312,12240
