 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.091,255,0,255,255,1.586,23.203,11220
2,0.056,255,0,255,255,1.136,14.238,6885
3,0.052,255,0,255,255,0.889,13.183,6375
4,0.021,255,0,255,255,0.605,5.273,2550
5,0.002,255,0,255,255,0.129,0.527,255
6,0.002,255,0,255,255,0.129,0.527,255
7,0.021,255,0,255,255,0.670,5.273,2550
8,0.002,255,0,255,255,0.129,0.527,255
9,0.004,255,0,255,255,0.220,1.055,510
10,0.002,255,0,255,255,0.129,0.527,255
11,0.002,255,0,255,255,0.129,0.527,255
12,0.002,255,0,255,255,0.129,0.527,255
13,0.091,255,0,255,255,1.661,23.203,11220
14,0.097,255,0,255,255,1.521,24.785,11985
15,0.002,255,0,255,255,0.129,0.527,255
16,0.002,255,0,255,255,0.129,0.527,255
17,0.002,255,0,255,255,0.129,0.527,255
18,0.002,255,0,255,255,0.129,0.527,255
19,0.002,255,0,255,255,0.129,0.527,255
20,0.002,255,0,255,255,0.129,0.527,255
21,0.002,255,0,255,255,0.129,0.527,255
22,0.194,255,0,255,255,2.346,49.570,23970
23,0.172,255,0,255,255,2.202,43.769,21165
24,0.002,255,0,255,255,0.129,0.527,255
25,0.010,255,0,255,255,0.348,2.637,1275
26,0.002,255,0,255,255,0.129,0.527,255
27,0.004,255,0,255,255,0.193,1.055,510
28,0.002,255,0,255,255,0.129,0.527,255
29,0.031,255,0,255,255,0.659,7.910,3825
30,0.002,255,0,255,255,0.129,0.527,255
31,0.048,255,0,255,255,0.787,12.129,5865
32,0.238,255,0,255,255,3.054,60.644,29325
33,0.002,255,0,255,255,0.129,0.527,255
34,0.006,255,0,255,255,0.386,1.582,765
35,0.006,255,0,255,255,0.348,1.582,765
36,0.012,255,0,255,255,0.477,3.164,1530
37,0.006,255,0,255,255,0.386,1.582,765
38,0.002,255,0,255,255,0.129,0.527,255
39,0.008,255,0,255,255,0.257,2.109,1020
40,0.002,255,0,255,255,0.129,0.527,255
41,0.008,255,0,255,255,0.348,2.109,1020
42,0.054,255,0,255,255,1.082,13.711,6630
43,0.002,255,0,255,255,0.129,0.527,255
44,0.002,255,0,255,255,0.129,0.527,255
45,0.101,255,0,255,255,1.302,25.839,12495
46,0.054,255,0,255,255,1.082,13.711,6630
47,0.012,255,0,255,255,0.605,3.164,1530
48,0.041,255,0,255,255,1.120,10.547,5100
49,0.002,255,0,255,255,0.129,0.527,255
50,0.002,255,0,255,255,0.129,0.527,255
51,0.002,255,0,255,255,0.129,0.527,255
52,0.002,255,0,255,255,0.129,0.527,255
53,0.002,255,0,255,255,0.129,0.527,255
54,0.126,255,0,255,255,1.623,32.168,15555
55,0.002,255,0,255,255,0.129,0.527,255
56,0.037,255,0,255,255,0.734,9.492,4590
57,0.002,255,0,255,255,0.129,0.527,255
58,0.002,255,0,255,255,0.129,0.527,255
59,0.002,255,0,255,255,0.129,0.527,255
60,0.029,255,0,255,255,1.056,7.383,3570
