 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.025,255,0,255,255,0.514,6.328,3060
2,0.008,255,0,255,255,0.386,2.109,1020
3,0.002,255,0,255,255,0.129,0.527,255
4,0.014,255,0,255,255,0.413,3.691,1785
5,0.019,255,0,255,255,0.605,4.746,2295
6,0.004,255,0,255,255,0.220,1.055,510
7,0.025,255,0,255,255,0.605,6.328,3060
8,0.008,255,0,255,255,0.386,2.109,1020
9,0.101,255,0,255,255,1.238,25.839,12495
10,0.019,255,0,255,255,0.450,4.746,2295
11,0.041,255,0,255,255,0.696,10.547,5100
12,0.017,255,0,255,255,0.477,4.219,2040
13,0.050,255,0,255,255,0.814,12.656,6120
14,0.014,255,0,255,255,0.568,3.691,1785
15,0.010,255,0,255,255,0.386,2.637,1275
16,0.029,255,0,255,255,0.643,7.383,3570
17,0.002,255,0,255,255,0.129,0.527,255
18,0.006,255,0,255,255,0.257,1.582,765
19,0.002,255,0,255,255,0.129,0.527,255
20,0.004,255,0,255,255,0.193,1.055,510
21,0.021,255,0,255,255,0.503,5.273,2550
22,0.006,255,0,255,255,0.311,1.582,765
23,0.019,255,0,255,255,0.450,4.746,2295
24,0.017,255,0,255,255,0.413,4.219,2040
25,0.083,255,0,255,255,1.291,21.093,10200
26,0.056,255,0,255,255,0.863,14.238,6885
27,0.083,255,0,255,255,1.109,21.093,10200
28,0.019,255,0,255,255,0.568,4.746,2295
29,0.048,255,0,255,255,0.927,12.129,5865
30,0.037,255,0,255,255,0.659,9.492,4590
31,0.021,255,0,255,255,0.514,5.273,2550
32,0.031,255,0,255,255,0.670,7.910,3825
33,0.054,255,0,255,255,0.825,13.711,6630
34,0.136,255,0,255,255,1.446,34.804,16830
35,0.002,255,0,255,255,0.129,0.527,255
36,0.083,255,0,255,255,1.007,21.093,10200
37,0.004,255,0,255,255,0.220,1.055,510
38,0.023,255,0,255,255,0.503,5.801,2805
39,0.002,255,0,255,255,0.129,0.527,255
40,0.089,255,0,255,255,1.173,22.675,10965
41,0.041,255,0,255,255,0.863,10.547,5100
42,0.017,255,0,255,255,0.413,4.219,2040
43,0.058,255,0,255,255,0.916,14.765,7140
44,0.002,255,0,255,255,0.129,0.527,255
45,0.074,255,0,255,255,0.954,18.984,9180
46,0.039,255,0,255,255,0.787,10.019,4845
47,0.027,255,0,255,255,0.568,6.855,3315
48,0.004,255,0,255,255,0.220,1.055,510
49,0.004,255,0,255,255,0.193,1.055,510
50,0.068,255,0,255,255,0.980,17.402,8415
51,0.002,255,0,255,255,0.129,0.527,255
52,0.048,255,0,255,255,1.120,12.129,5865
53,0.037,255,0,255,255,0.670,9.492,4590
54,0.019,255,0,255,255,0.477,4.746,2295
55,0.008,255,0,255,255,0.322,2.109,1020
56,0.050,255,0,255,255,0.825,12.656,6120
57,0.068,255,0,255,255,0.980,17.402,8415
58,0.043,255,0,255,255,0.734,11.074,5355
59,0.010,255,0,255,255,0.477,2.637,1275
60,0.072,255,0,255,255,0.980,18.457,8925
61,0.017,255,0,255,255,0.413,4.219,2040
62,0.079,255,0,255,255,1.018,20.039,9690
63,0.074,255,0,255,255,1.056,18.984,9180
64,0.014,255,0,255,255,0.568,3.691,1785
65,0.105,255,0,255,255,1.173,26.894,13005
66,0.064,255,0,255,255,0.927,16.347,7905
67,0.060,255,0,255,255,0.852,15.293,7395
68,0.019,255,0,255,255,0.477,4.746,2295
69,0.035,255,0,255,255,0.685,8.965,4335
70,0.045,255,0,255,255,0.761,11.601,5610
71,0.089,255,0,255,255,1.162,22.675,10965
72,0.031,255,0,255,255,0.670,7.910,3825
73,0.068,255,0,255,255,0.905,17.402,8415
74,0.025,255,0,255,255,0.541,6.328,3060
75,0.008,255,0,255,255,0.257,2.109,1020
76,0.052,255,0,255,255,0.889,13.183,6375
77,0.079,255,0,255,255,1.045,20.039,9690
78,0.074,255,0,255,255,1.007,18.984,9180
79,0.378,255,0,255,255,2.400,96.503,46665
80,0.023,255,0,255,255,0.514,5.801,2805
81,0.010,255,0,255,255,0.348,2.637,1275
82,0.056,255,0,255,255,0.878,14.238,6885
83,0.025,255,0,255,255,0.605,6.328,3060
84,0.002,255,0,255,255,0.129,0.527,255
85,0.010,255,0,255,255,0.386,2.637,1275
86,0.033,255,0,255,255,0.632,8.437,4080
87,0.174,255,0,255,255,1.843,44.296,21420
88,0.091,255,0,255,255,1.136,23.203,11220
89,0.037,255,0,255,255,0.670,9.492,4590
90,0.010,255,0,255,255,0.348,2.637,1275
91,0.008,255,0,255,255,0.386,2.109,1020
92,0.004,255,0,255,255,0.220,1.055,510
93,0.002,255,0,255,255,0.129,0.527,255
94,0.050,255,0,255,255,0.761,12.656,6120
95,0.083,255,0,255,255,1.045,21.093,10200
96,0.002,255,0,255,255,0.129,0.527,255
97,0.062,255,0,255,255,0.991,15.820,7650
98,0.287,255,0,255,255,2.131,73.300,35445
99,0.050,255,0,255,255,0.954,12.656,6120
100,0.077,255,0,255,255,1.007,19.511,9435
101,0.002,255,0,255,255,0.129,0.527,255
102,0.095,255,0,255,255,1.136,24.257,11730
103,0.017,255,0,255,255,0.477,4.219,2040
104,0.004,255,0,255,255,0.193,1.055,510
105,0.052,255,0,255,255,0.825,13.183,6375
106,0.002,255,0,255,255,0.129,0.527,255
107,0.002,255,0,255,255,0.129,0.527,255
108,0.006,255,0,255,255,0.322,1.582,765
109,0.004,255,0,255,255,0.220,1.055,510
110,0.064,255,0,255,255,1.029,16.347,7905
111,0.029,255,0,255,255,0.632,7.383,3570
112,0.064,255,0,255,255,0.927,16.347,7905
113,0.004,255,0,255,255,0.193,1.055,510
114,0.002,255,0,255,255,0.129,0.527,255
115,0.021,255,0,255,255,0.541,5.273,2550
116,0.120,255,0,255,255,1.885,30.586,14790
117,0.062,255,0,255,255,0.878,15.820,7650
118,0.056,255,0,255,255,0.852,14.238,6885
119,0.093,255,0,255,255,1.109,23.730,11475
120,0.002,255,0,255,255,0.129,0.527,255
121,0.058,255,0,255,255,0.841,14.765,7140
122,0.120,255,0,255,255,1.200,30.586,14790
123,0.050,255,0,255,255,0.798,12.656,6120
124,0.008,255,0,255,255,0.322,2.109,1020
125,0.341,255,0,255,255,3.192,87.011,42075
126,0.002,255,0,255,255,0.129,0.527,255
127,0.023,255,0,255,255,0.503,5.801,2805
128,0.002,255,0,255,255,0.129,0.527,255
129,0.190,255,0,255,255,1.628,48.515,23460
130,0.048,255,0,255,255,0.787,12.129,5865
131,0.070,255,0,255,255,0.943,17.929,8670
132,0.002,255,0,255,255,0.129,0.527,255
133,0.089,255,0,255,255,1.071,22.675,10965
134,0.064,255,0,255,255,0.916,16.347,7905
135,0.012,255,0,255,255,0.514,3.164,1530
136,0.085,255,0,255,255,1.071,21.621,10455
137,0.025,255,0,255,255,0.541,6.328,3060
138,0.081,255,0,255,255,1.034,20.566,9945
139,0.004,255,0,255,255,0.220,1.055,510
140,0.025,255,0,255,255,0.605,6.328,3060
141,0.079,255,0,255,255,1.045,20.039,9690
142,0.004,255,0,255,255,0.193,1.055,510
143,0.079,255,0,255,255,1.007,20.039,9690
144,0.002,255,0,255,255,0.129,0.527,255
145,0.070,255,0,255,255,0.954,17.929,8670
146,0.060,255,0,255,255,0.889,15.293,7395
147,0.008,255,0,255,255,0.257,2.109,1020
148,0.056,255,0,255,255,0.825,14.238,6885
149,0.045,255,0,255,255,0.787,11.601,5610
150,0.085,255,0,255,255,1.109,21.621,10455
151,0.010,255,0,255,255,0.386,2.637,1275
152,0.010,255,0,255,255,0.322,2.637,1275
153,0.025,255,0,255,255,0.541,6.328,3060
154,0.029,255,0,255,255,0.568,7.383,3570
155,0.002,255,0,255,255,0.129,0.527,255
156,0.176,255,0,255,255,1.575,44.824,21675
157,0.010,255,0,255,255,0.348,2.637,1275
158,0.190,255,0,255,255,1.730,48.515,23460
159,0.012,255,0,255,255,0.413,3.164,1530
160,0.043,255,0,255,255,0.761,11.074,5355
161,0.079,255,0,255,255,1.045,20.039,9690
162,0.012,255,0,255,255,0.386,3.164,1530
163,0.010,255,0,255,255,0.450,2.637,1275
