CK113_1216_681_rapa_PDH_004.nd2 - Registered_001,Distance_(microns),Green,Red,Farred
,0,105.353,114,109.649
,0.04548,106.564,115.867,116.441
,0.09095,106.078,117.286,114.765
,0.13643,104.918,118.501,112.094
,0.1819,107.863,116.045,108.417
,0.22738,105.371,117.665,112.988
,0.27285,103.563,115.828,115.099
,0.31833,103.059,113.374,116.504
,0.3638,104.83,117.239,115.509
,0.40927,107.405,115.531,117.388
,0.45475,107.672,125.143,141.271
,0.50023,111.051,146.288,181.528
,0.5457,116.343,158.23,235.39
,0.59118,132.773,204.487,331.665
,0.63665,148.433,247.055,425.098
,0.68213,162.448,300.183,521.002
,0.7276,177.295,312.972,593.862
,0.77308,173.175,319.047,608.873
,0.81855,201.682,339.858,522.437
,0.86402,267.78,360.81,454.196
,0.9095,428.148,434.904,424.73
,0.95498,614.61,526.059,456.508
,1.00045,743.134,594.733,468.797
,1.04593,829.042,641.529,455.831
,1.0914,664.234,578.34,391.042
,1.13688,455.305,445.555,292.411
,1.18235,268.396,300.314,213.339
,1.22783,182.87,196.867,167.35
,1.2733,141.958,151.304,135.283
,1.31878,117.419,121.737,124.004
,1.36425,111.873,115.059,116.44
,1.40973,114.61,113.209,115.234
,1.4552,109.44,115.442,112.926
,1.50068,105.204,114.293,114.545
,1.54615,108.092,113.663,111.319
,1.59162,103.167,112.036,108.047
,1.6371,102.72,113.997,120.337
,1.68257,104.018,109.456,114.474
,1.72805,105.377,106.951,112.554
,1.77352,103.207,115.983,110.939
,1.819,104.381,117.417,112.845
,1.86448,104.189,108.683,108.078
,1.90995,102.807,109.89,104.256
,1.95543,100.674,110,105.777
