CK113_1216_681_rapa_PDH_003.nd2 - Registered_002,Distance_(microns),Green,Red,Farred
,0,107.094,112.167,110.905
,0.04548,105.589,110.542,115.342
,0.09095,107.149,109.471,115.935
,0.13643,102.379,109.337,119.617
,0.1819,100.728,115.755,118.29
,0.22738,100.438,117.001,116.459
,0.27285,101.353,112.104,117.758
,0.31833,107.42,129.666,126.895
,0.3638,111.092,164.047,142.497
,0.40927,127.579,221.371,158.731
,0.45475,146.957,261.66,216.768
,0.50023,155.447,329.5,308.539
,0.5457,178.179,405.272,365.242
,0.59118,216.5,448.421,438.137
,0.63665,287.555,482.871,493.126
,0.68213,380.068,496.939,489.647
,0.7276,490.884,496.247,449.575
,0.77308,541.453,478.924,366.377
,0.81855,476.883,401.837,292.224
,0.86402,350.22,318.56,227.47
,0.9095,244.136,235.937,187.325
,0.95498,170.637,171.434,158.743
,1.00045,124.829,131.5,148.698
,1.04593,111.861,125.754,143.972
,1.0914,102.803,115.552,123.092
,1.13688,101.694,119.76,126.72
,1.18235,104.868,112.656,121.137
,1.22783,102.67,114.935,111.166
,1.2733,103.618,111.743,113.408
,1.31878,103.083,114.429,113.724
,1.36425,109.958,115.78,109.409
,1.40973,106.525,125.724,114.832
,1.4552,107.153,143.477,120.648
,1.50068,118.763,168.667,135.299
