CK109_1216_681_rapa_PDH_015 - Registered_003,Distance_(microns),Green,Red,Farred
,0,110.972,106,111.411
,0.04548,111.967,105.685,118.945
,0.09095,111.863,102.867,109.044
,0.13643,118.28,105.083,114.469
,0.1819,114.698,109.405,114.848
,0.22738,111.062,107.232,121.271
,0.27285,114.47,112.33,118.791
,0.31833,116.688,114.223,122.628
,0.3638,111.374,115.256,141.17
,0.40927,117.391,117.974,168.817
,0.45475,131.349,134.727,222.939
,0.50023,144.765,143.733,281.742
,0.5457,163.465,158.662,345.218
,0.59118,189.725,182.896,377.873
,0.63665,214.581,213.905,392.531
,0.68213,232.461,244.165,370.101
,0.7276,239.35,271.423,323.199
,0.77308,250.121,289.744,268.8
,0.81855,240.095,282.478,212.808
,0.86402,201.232,248.07,173.786
,0.9095,176.015,214.642,148.044
,0.95498,144.717,173.961,139.256
,1.00045,119.083,138.042,136.624
,1.04593,112.056,119.93,128.814
,1.0914,111.739,112.793,126.602
,1.13688,106.344,112.084,123.434
,1.18235,104.114,109.675,119.993
,1.22783,104.485,106.065,120.971
,1.2733,104.697,102.614,115.675
,1.31878,106.323,109.827,115.583
,1.36425,110.955,114.156,111.293
,1.40973,111.287,106.613,109.733
,1.4552,112.64,109.416,110.96
,1.50068,113.453,110.388,113.446
,1.54615,111.231,106.852,110.35
,1.59162,105.431,110.778,108.401
,1.6371,108.495,104.855,111.2
,1.68257,107.257,105.286,113.9
,1.72805,109.262,107.035,108.127
,1.77352,107.933,104.906,110.473
,1.819,104.319,104.701,113.095
,1.86448,103.715,113,113.179
