CK113_1216_681_rapa_PDH_004.nd2 - Registered_003,Distance_(microns),Green,Red,Farred
,0,109.36,126,121.683
,0.04548,111.258,116.903,115.975
,0.09095,107.178,119.623,111.465
,0.13643,108.536,121.619,114.89
,0.1819,109.458,124.792,124.832
,0.22738,109.358,122.633,136.967
,0.27285,105.603,119.619,146.104
,0.31833,109.975,129.36,151.054
,0.3638,119.079,162.734,168.336
,0.40927,130.423,212.253,189.452
,0.45475,147.405,257.066,207.415
,0.50023,168.826,321.972,231.649
,0.5457,202.575,392.574,242.731
,0.59118,256.283,429.232,221.032
,0.63665,356.274,455.567,207.467
,0.68213,488.839,485.249,174.93
,0.7276,589.201,478.218,155.083
,0.77308,592.624,412,129.037
,0.81855,457.44,322.868,124.73
,0.86402,293.232,228.927,115.503
,0.9095,195.845,155.481,115.809
,0.95498,150.313,132.747,113.882
,1.00045,121.798,125.284,114.826
,1.04593,110.68,121.253,116.489
,1.0914,108.36,116.585,115.054
,1.13688,108.373,110.446,118.936
,1.18235,104.665,110.723,116.413
,1.22783,101.007,110.924,119.452
,1.2733,103.334,105.934,124.701
,1.31878,103.377,111.827,114.931
,1.36425,104.127,109.644,112.465
,1.40973,105.125,110.412,117.656
,1.4552,106.853,109.308,116.823
,1.50068,105.576,113.692,120.46
,1.54615,106.18,116,104.702
