CK112_1216_681_rapa_PDH_.nd2 - Registered_002,Distance_(microns),Green,Red,Farred
,0,109.881,109,122.517
,0.04548,103.454,109.901,124.2
,0.09095,103.592,113.645,133.911
,0.13643,108.246,115.339,147.947
,0.1819,111.677,120.306,175.791
,0.22738,109.075,132.237,218.411
,0.27285,110.672,154.818,287.433
,0.31833,118.629,198.309,398.512
,0.3638,129.637,237.832,523.956
,0.40927,141.246,283.289,612.122
,0.45475,141.854,317.311,644.435
,0.50023,165.301,367,612.102
,0.5457,196.714,363.719,516.147
,0.59118,271.501,427.347,387.044
,0.63665,360.267,470.041,275.252
,0.68213,425.533,511.942,197.035
,0.7276,475.853,465.793,156.819
,0.77308,473.21,417.336,138.387
,0.81855,400.099,347.38,129.071
,0.86402,272.13,267.829,124.963
,0.9095,186.664,192.391,120.885
,0.95498,136.185,136.256,113.076
,1.00045,122.913,118,108.253
,1.04593,103.763,115.529,106.146
,1.0914,103.317,113.289,108.503
,1.13688,109.538,107.231,111.072
,1.18235,106.92,102.73,111.453
,1.22783,104.917,108.934,113.846
,1.2733,106.432,110.57,115.079
,1.31878,106.191,113.091,113.132
,1.36425,103.281,109.05,112.386
,1.40973,99.998,101.986,111.249
,1.4552,101.888,99.063,109.801
,1.50068,102.969,100,106.797
