CK113_1216_681_rapa_PDH_003.nd2 - Registered_004,Distance_(microns),Green,Red,Farred
,0,105.302,106,109.694
,0.04548,99.859,105.26,107.228
,0.09095,101.611,106.916,109.678
,0.13643,101.259,108.775,108.033
,0.1819,103.751,104.893,107.865
,0.22738,101.273,107.058,109.234
,0.27285,102.969,107.26,108.692
,0.31833,101.919,105.441,110.122
,0.3638,100.757,102.217,114.854
,0.40927,102.36,108.731,117.835
,0.45475,104.113,117.554,126.308
,0.50023,106.899,117,141.597
,0.5457,104.375,136.119,190.545
,0.59118,111.185,182.749,279.453
,0.63665,115.603,201.593,381.646
,0.68213,123.55,218.868,481.824
,0.7276,123.651,259.286,550.94
,0.77308,131.361,273.286,490.426
,0.81855,151.641,273.717,401.875
,0.86402,154.997,330.676,296.783
,0.9095,162.769,356.554,241.91
,0.95498,175.828,383.098,203.717
,1.00045,198.161,441.4,182.662
,1.04593,237.596,455.777,196.751
,1.0914,290.88,442.498,196.459
,1.13688,348.927,438.24,166.558
,1.18235,353.407,346.253,150.344
,1.22783,300.813,257.912,132.776
,1.2733,208.584,187.704,126.275
,1.31878,149.837,156.907,117.823
,1.36425,123.913,123.826,111.752
,1.40973,113.283,116.026,108.38
,1.4552,107.852,114.086,107.322
,1.50068,103.219,98,108.664
,1.54615,107.53,108.251,114.917
,1.59162,103.539,104.562,112.316
,1.6371,104.549,95.124,112.595
,1.68257,102.33,96.46,109.029
,1.72805,101.01,106.35,105.686
,1.77352,102.196,103.55,105.5
,1.819,99.093,104.62,104.447
,1.86448,100.829,104.902,105.659
,1.90995,102.153,106.21,109.032
,1.95543,99.592,112.017,112.029
,2.0009,101.601,112.2,109.855
,2.04638,101.441,105.636,110.058
,2.09185,102.842,100.96,109.998
,2.13733,99.542,107.856,113.815
,2.1828,97.829,104.051,111.803
,2.22828,97.983,104.355,110.046
,2.27375,100.508,107.05,105.068
,2.31923,101.704,104.64,101.582
,2.3647,97.848,102.266,102.725
,2.41018,103.801,107.01,104.06
,2.45565,105.582,110.091,105.848
,2.50113,101.141,98,105.191
