CK109_1216_681_rapa_PDH_014 - Registered_004,Distance_(microns),Green,Red,Farred
,0,110.595,113,122.7797
,0.04548,108.209,115.3,115.4976
,0.09095,103.49,104.251,113.2094
,0.13643,109.245,109.377,118.2672
,0.1819,108.327,114.262,122.7306
,0.22738,103.736,113.934,123.6886
,0.27285,101.006,109.888,132.045
,0.31833,104.272,120.323,135.8958
,0.3638,111.169,134.269,144.8684
,0.40927,115.718,156.439,154.9007
,0.45475,122.375,173.492,168.1052
,0.50023,133.623,198.684,179.4588
,0.5457,131.255,211.641,194.539
,0.59118,139.717,209.272,178.4693
,0.63665,177.512,227.595,174.3463
,0.68213,239.849,252.985,161.1026
,0.7276,314.063,271.329,151.857
,0.77308,372.184,281.99,143.3992
,0.81855,350.752,251.232,149.8098
,0.86402,301.482,223.195,143.6081
,0.9095,223.427,174.016,134.2104
,0.95498,175.426,154.653,126.7841
,1.00045,133.231,134.336,121.1708
,1.04593,117.733,121.269,116.5018
,1.0914,124.314,121.807,114.2672
,1.13688,117.173,111.401,115.8654
,1.18235,116.305,124.095,108.357
,1.22783,107.077,120.256,109.9446
,1.2733,103.709,113.818,110.4461
,1.31878,104.481,108.03,110.1427
,1.36425,105.432,111.118,107.1549
,1.40973,111.04,109.733,105.9325
,1.4552,107.116,109.011,110.2382
,1.50068,106.946,109.82,109.3393
,1.54615,107.273,109.846,108.5717
,1.59162,112.73,115.186,113.4892
,1.6371,104.836,112.298,106.1636
,1.68257,109.254,113,105.0149
