CK109_1216_681_rapa_PDH_013 - Registered_002,Distance_(microns),Green,Red,Farred
,0,97.112,117,108.9098
,0.04547,102.601,115.414,111.3028
,0.09095,104.742,121.237,111.5525
,0.13643,108.368,121.82,111.7335
,0.1819,114.297,146.709,122.4904
,0.22738,119.668,171.421,123.5885
,0.27285,129.738,200.979,124.1365
,0.31833,143.534,263.101,122.2238
,0.3638,156.394,273.357,126.6813
,0.40927,163.982,289.272,131.4805
,0.45475,178.998,312.193,125.9304
,0.50023,182.322,326.871,132.2879
,0.5457,190.645,358.253,151.3855
,0.59118,238.912,360.049,166.3246
,0.63665,279.831,355.185,167.2584
,0.68212,314.564,355.54,167.2213
,0.7276,286.275,341.602,156.4916
,0.77307,271.308,290.952,146.9858
,0.81855,197.261,227.157,140.6607
,0.86402,150.295,164.977,128.241
,0.9095,124.317,134.144,122.6092
,0.95498,115.673,126.73,121.8807
,1.00045,111.465,115.531,113.5776
,1.04593,112.931,111.091,111.7901
,1.0914,110.806,118.51,110.7396
,1.13688,108.159,117.594,112.3103
,1.18235,105.821,114.802,114.7249
,1.22783,105.028,121,115.8268
