CK113_1216_681_rapa_PDH_003.nd2 - Registered_010,Distance_(microns),Green,Red,Farred
,0,92.827,103,108.196
,0.04548,111.105,120,121.034
,0.09095,108.191,126,117.602
,0.13643,100.697,113,115.43
,0.1819,107.263,107,122.312
,0.22738,106.68,125,126.929
,0.27285,117.562,142,146.723
,0.31833,126.758,161,172.249
,0.3638,141.443,263,223.248
,0.40927,156.331,270,237.089
,0.45475,180.518,353,274.675
,0.50023,190.748,360,248.188
,0.5457,200.231,339,204.14
,0.59118,229.162,356,178.74
,0.63665,301.864,360,169.236
,0.68213,386.395,413,181.918
,0.7276,440.448,427,199.893
,0.77308,470.604,384,192.301
,0.81855,348.089,270,190.673
,0.86402,271.097,254,178.888
,0.9095,199.318,166,161.314
,0.95498,146.213,141,140.89
,1.00045,119.011,118,118.906
,1.04593,105.983,121,119.33
,1.0914,109.805,111,110.869
,1.13688,107.72,119,114.767
,1.18235,107.354,103,109.669
,1.22783,105.54,106,108.041
,1.2733,106.04,109,110.851
,1.31878,97.06,112,107.374
,1.36425,100.235,111,118.198
,1.40973,97.677,117,118.83
,1.4552,102.193,111,115.73
