CK113_1216_681_rapa_PDH_004.nd2 - Registered_006,Distance_(microns),Green,Red,Farred
,0,112.4,119,121.964
,0.04548,114.458,125.615,119.027
,0.09095,114.589,126.271,124.521
,0.13643,121.593,129.731,129.536
,0.1819,124.411,148.781,152.325
,0.22738,127.443,183.515,192.725
,0.27285,137.267,212.38,257.292
,0.31833,152.415,263.499,378.996
,0.3638,167.01,335.701,582.235
,0.40927,172.28,365.269,798.569
,0.45475,176.331,394.427,904.398
,0.50023,192.254,394.133,937.018
,0.5457,228.604,378.751,863.477
,0.59118,313.718,396.368,718.023
,0.63665,447.09,422.618,571.883
,0.68213,548.499,460.684,416.286
,0.7276,548.669,457.573,291.81
,0.77308,507.19,408.922,217.42
,0.81855,383.511,354.23,176.643
,0.86402,260.904,253,140.25
,0.9095,170.254,183.615,132.642
,0.95498,133.387,146.075,123.957
,1.00045,117.888,124.316,117.639
,1.04593,118.105,120.931,119.857
,1.0914,118.138,122.452,121.159
,1.13688,115.665,118.227,121.363
,1.18235,114.145,114.357,117.691
,1.22783,116.608,118.873,111.566
,1.2733,114.976,118.066,116.806
,1.31878,119.498,128.645,124.948
,1.36425,110.435,126.875,125.255
,1.40973,112.356,121.263,113.918
,1.4552,109.931,123.205,117.573
,1.50068,114.419,123.1,118.205
,1.54615,117.349,126.288,115.322
,1.59162,111.4,124.917,115.916
,1.6371,109.969,121.402,118.12
,1.68257,106.665,125.515,116.143
,1.72805,104.879,137,114.725
