CK112_1216_681_rapa_PDH_.nd2 - Registered_001,Distance_(microns),Green,Red,Farred
,0,119.46,108,104.685
,0.04548,113.967,103.953,102.73
,0.09095,110.545,109.13,104.586
,0.13643,111.884,103.089,103.339
,0.1819,109.016,111.669,105.893
,0.22738,105.805,114.26,108.018
,0.27285,106.517,130.84,111.825
,0.31833,107.88,146.509,127.985
,0.3638,114.94,165.509,161.199
,0.40927,139.753,200.976,213.136
,0.45475,183.823,250.822,284.774
,0.50023,262.087,274.538,362.868
,0.5457,318.885,288.627,393.392
,0.59118,361.613,275,365.842
,0.63665,307.793,250.935,279.898
,0.68213,237.212,217.456,210.719
,0.7276,170.861,184.373,167.752
,0.77308,137.785,139.485,135.176
,0.81855,118.428,125.183,118.162
,0.86402,112.112,114.538,114.814
,0.9095,114.012,112.462,112.678
,0.95498,110.653,108.74,112.091
,1.00045,104.383,101.077,112.058
,1.04593,101.58,104.479,112.578
,1.0914,101.507,110.112,111.811
,1.13688,105.768,110.692,113.349
,1.18235,104.617,111,106.2
