CK109_1216_681_rapa_PDH_015 - Registered_002,Distance_(microns),Green,Red,Farred
,0,107.165,101,107.743
,0.04548,101.84,108.33,111.607
,0.09095,102.665,100.095,109.123
,0.13643,105.015,101.307,112.408
,0.1819,110.69,104.927,116.263
,0.22738,112.74,106.347,115.168
,0.27285,110.117,106.251,111.083
,0.31833,109.844,104.092,112.765
,0.3638,105.848,106.376,113.859
,0.40927,104.347,101.242,110.62
,0.45475,110.141,108.325,113.831
,0.50023,109.266,108.95,119.326
,0.5457,105.091,103.983,121.166
,0.59118,104.91,98.245,119.075
,0.63665,105.072,100.472,118.71
,0.68213,105.082,95.938,122.759
,0.7276,104.427,110.654,128.284
,0.77308,108.462,108.557,149.113
,0.81855,114.271,113.203,195.934
,0.86402,122.367,123.551,264.384
,0.9095,126.508,137.747,345.631
,0.95498,138.591,146.735,437.36
,1.00045,148.801,162.324,525.487
,1.04593,158.438,187.579,634.097
,1.0914,168.352,212.441,725.354
,1.13688,180.965,223.39,767.687
,1.18235,181.682,257.596,733.408
,1.22783,218.493,306.394,634.251
,1.2733,256.769,353.86,501.139
,1.31878,261.095,349.757,357.684
,1.36425,261.078,309.612,251.501
,1.40973,240.729,264.914,176.204
,1.4552,192.331,201.037,133.692
,1.50068,144.947,144.118,120.764
,1.54615,124.465,113.796,113.544
,1.59162,108.227,110.619,108.764
,1.6371,109.92,110.67,110.339
,1.68257,106.722,106.078,111.179
,1.72805,104.287,104.986,113.506
,1.77352,102.649,103.577,116.933
,1.819,107.028,102.145,118.129
,1.86448,105.595,100.515,113.259
,1.90995,106.345,100.463,116.276
,1.95543,106.829,100.689,118.729
,2.0009,105.748,102.08,112.813
,2.04638,107.752,106.051,111.906
,2.09185,103.732,106.322,106.241
,2.13733,104.056,101.475,102.562
,2.1828,106.834,103.678,106.661
,2.22828,107.125,104.858,109.616
,2.27375,106.901,102.901,104.716
,2.31923,105.555,102.828,102.704
,2.3647,102.025,101.841,106.991
,2.41018,104.379,106.061,107.164
,2.45565,103.981,110.733,105.495
,2.50113,101.493,112.75,104.025
,2.5466,104.936,111.078,107.765
,2.59208,106.208,108.134,112.522
,2.63755,106.073,102.041,109.416
,2.68303,107.413,103,105.393
