CK112_1216_681_rapa_PDH_008.nd2 - Registered_004,Distance_(microns),Green,Red,Farred
,0,103.879,104.5,124.143
,0.04548,102.513,103.16,112.347
,0.09095,107.259,106.87,117.22
,0.13643,109.939,106,125.286
,0.1819,109.804,111.494,134.942
,0.22738,115.743,119.963,156.18
,0.27285,127.44,137.5,174.701
,0.31833,133.072,135.543,212.453
,0.3638,130.935,140.932,247.776
,0.40927,124.228,147.667,274.553
,0.45475,126.456,145.781,329.543
,0.50023,129.665,150.704,389.027
,0.5457,138.055,153.722,473.988
,0.59118,149.709,162.667,517.857
,0.63665,152.168,181.608,556.318
,0.68213,167.892,167.333,506.134
,0.7276,195.319,227.009,397.842
,0.77308,271.261,258.457,303.123
,0.81855,388.588,302.083,212.118
,0.86402,494.363,322.185,160.276
,0.9095,524.792,327.414,134.04
,0.95498,438.671,282,121.949
,1.00045,310.96,216.503,123.291
,1.04593,203.296,159.951,121.626
,1.0914,143.709,134.472,124.179
,1.13688,121.821,118.765,122.297
,1.18235,109.812,105.546,115.923
,1.22783,106.246,105,124.909
,1.2733,104.587,107.145,112.232
,1.31878,106.97,104.321,113.702
,1.36425,106.168,104.889,108.79
,1.40973,104.526,106.383,112.306
,1.4552,97.615,105.849,118.06
,1.50068,100.924,98.222,121.771
,1.54615,107.742,105.957,120.069
,1.59162,107.293,105.222,120.305
,1.6371,103.46,105.417,119.374
