CK109_1216_681_rapa_PDH_012 - Registered_004,Distance_(microns),Green,Red,Farred
,0,118.73,114,115.748
,0.04547,114.079,122.408,130.518
,0.09095,113.154,128.598,147.067
,0.13643,117.458,143.225,155.874
,0.1819,127.71,175.148,194.688
,0.22738,148.343,202.911,249.312
,0.27285,177.693,229.225,314.378
,0.31833,239.709,298.361,384.825
,0.3638,362.874,373.047,400.983
,0.40927,506.422,482.858,415.848
,0.45475,652.038,521.142,359.797
,0.50023,772.136,534.956,281.795
,0.5457,740.48,498.467,232.949
,0.59118,581.609,386,175.651
,0.63665,394.838,262.657,158.904
,0.68212,223.49,186.982,146.043
,0.7276,155.228,143.669,133.747
,0.77307,130.4,122.047,121.117
,0.81855,118.722,118.266,119.13
,0.86402,107.88,112.118,120.047
,0.9095,105.178,106.74,119.551
,0.95498,100.813,104.586,114.897
,1.00045,103.592,110.639,115.701
,1.04593,105.98,111.577,112.405
,1.0914,104.371,113.32,114.342
,1.13688,105.885,108.645,117.541
,1.18235,100.766,106,113.283
