CK109_1216_681_rapa_PDH_014 - Registered_003,Distance_(microns),Green,Red,Farred
,0,122.956,130,112.8573
,0.04548,110.023,119.725,115.3644
,0.09095,108.308,125.018,114.5691
,0.13643,114.401,143.725,111.4615
,0.1819,113.732,142.828,117.1197
,0.22738,118.54,159.272,115.5661
,0.27285,125.133,178.396,119.9197
,0.31833,135.548,201.976,126.9421
,0.3638,149.487,240.87,129.9871
,0.40927,158.039,252.044,136.3089
,0.45475,182.628,271.13,133.6807
,0.50023,206.502,302.074,125.7576
,0.5457,227.074,282.438,123.8165
,0.59118,229.792,258.5,124.4537
,0.63665,212.789,216.787,120.4428
,0.68213,175.691,162.497,118.4089
,0.7276,136.418,141.059,117.1909
,0.77308,117.19,122.05,120.0157
,0.81855,111.327,112.893,117.8686
,0.86402,108.323,108.251,113.2892
,0.9095,107.163,109.112,110.9989
,0.95498,110.004,110.178,108.7865
,1.00045,108.369,110.509,107.3664
,1.04593,103.649,107.435,111.443
,1.0914,105.626,112.278,108.8934
,1.13688,102.851,109.953,110.7871
,1.18235,102.983,104,115.628
