CK109_1216_681_rapa_PDH_009 - Registered_002,Distance_(microns),Green,Red,Farred
,0,119.959,111.417,135.191
,0.04547,120.71,116.852,133.05
,0.09095,123.327,120.42,138.306
,0.13643,120.863,119.864,147.753
,0.1819,115.63,126.665,156.888
,0.22738,119.948,130.157,161.525
,0.27285,121.071,133.432,166.529
,0.31833,125.737,145.074,176.518
,0.3638,129.587,148.672,187.701
,0.40927,138.976,154.922,201.948
,0.45475,142.186,177.302,237.526
,0.50023,160.109,197.693,282.697
,0.5457,187.654,209.552,327.969
,0.59118,262.595,246.621,361.36
,0.63665,380.672,280.121,349.819
,0.68212,528.511,313.572,305.519
,0.7276,693.932,361.748,250.555
,0.77307,749.572,386.472,201.411
,0.81855,797.177,333.023,156.63
,0.86402,591.999,296.054,140.305
,0.9095,391.077,222.217,131.951
,0.95498,240.388,161.242,132.2
,1.00045,155.612,142.358,128.552
,1.04593,130.618,123.114,128.061
,1.0914,116.829,113.932,128.064
,1.13688,112.064,116.342,125.612
,1.18235,105.637,123.76,123.811
,1.22783,101.958,113.044,126.431
,1.2733,108.894,113.679,127.267
,1.31878,108.294,113.267,124.48
,1.36425,110.418,114.041,125.756
,1.40972,115.647,109.829,127.2
,1.4552,109.916,109.108,125.658
,1.50067,107.711,116.225,122.513
,1.54615,109.179,115.694,125.445
