CK113_1216_681_rapa_PDH_006.nd2 - Registered_002,Distance_(microns),Green,Red,Farred
,0,108.152,101,108.257
,0.04548,101.05,104.153,107.675
,0.09095,102.315,103.825,103.872
,0.13643,105.768,104.958,105.13
,0.1819,106.969,103.91,107.634
,0.22738,110.656,107.058,112.287
,0.27285,105.216,105.727,110.307
,0.31833,106.51,118.532,110.743
,0.3638,102.604,116.321,119.936
,0.40927,100.594,113.353,118.536
,0.45475,109.929,118.11,127.37
,0.50023,105.897,143.555,141.944
,0.5457,107.756,183.757,179.196
,0.59118,119.182,227.689,211.496
,0.63665,131.547,281.065,247.281
,0.68213,126.527,355.237,266.697
,0.7276,139.607,365.285,285.901
,0.77308,148.831,378.937,267.326
,0.81855,148.981,368.601,235.686
,0.86402,147.718,331.11,189.253
,0.9095,168.63,284.229,157.777
,0.95498,196.768,280.727,140.662
,1.00045,253.282,231.123,123.121
,1.04593,276.248,210.494,118.905
,1.0914,259.074,190.55,114.85
,1.13688,224.275,162.472,110.775
,1.18235,160.644,131.809,109.685
,1.22783,123.118,119.391,117.045
,1.2733,107.403,115.215,113.037
,1.31878,102.263,115.511,109.264
,1.36425,99.955,111.007,107.394
,1.40973,105.099,108.601,105.99
,1.4552,104.128,107.37,111.687
,1.50068,105.962,104.407,106.042
,1.54615,102.632,107.958,109.588
,1.59162,100.103,105.899,116.203
,1.6371,108.663,105.692,115.466
,1.68257,107.107,106.389,116.566
,1.72805,106.441,110.076,111.291
,1.77352,109.322,109.772,112.569
,1.819,108.048,108.452,112.85
,1.86448,105.445,110.192,108.232
,1.90995,101.412,105.411,103.226
,1.95543,105.24,106.693,104.141
,2.0009,106.544,108.01,103.746
,2.04638,104.049,107.779,106.817
,2.09185,105.808,99.379,103.711
,2.13733,104.141,100,107.591
