CK112_1216_681_rapa_PDH_.nd2 - Registered_003,Distance_(microns),Green,Red,Farred
,0,110.477,112,130.48
,0.04548,108.987,113.445,125.826
,0.09095,109.94,121.963,130.778
,0.13643,114.457,135.554,141.711
,0.1819,114.245,157.248,177.436
,0.22738,117.869,182.72,253.131
,0.27285,137.254,235.083,357.774
,0.31833,164.546,317.627,522.293
,0.3638,214.318,399.715,712.853
,0.40927,320.935,513.901,875.259
,0.45475,447.391,532.04,914.926
,0.50023,524.113,531.691,827.067
,0.5457,506.253,462.645,633.856
,0.59118,411.977,321.726,429.476
,0.63665,268.769,240.443,296.601
,0.68213,181.582,178,213.057
,0.7276,127.756,135.24,159.157
,0.77308,105.553,116.88,132.877
,0.81855,108.483,111.965,125.969
,0.86402,111.473,113.677,131.035
,0.9095,103.52,116.92,129.32
,0.95498,107.254,116.123,129.415
,1.00045,104.76,113.962,128.07
,1.04593,103.497,119.622,123.462
,1.0914,109.91,116.259,122.841
,1.13688,106.847,115,127.195
