CK109_1216_681_rapa_PDH_014 - Registered_001,Distance_(microns),Green,Red,Farred
,0,108.939,106.25,158.077
,0.04548,107.083,110.744,161.536
,0.09095,102.998,110.852,155.44
,0.13643,100.973,106.893,142.278
,0.1819,104.274,110.345,131.835
,0.22738,105.288,104.6,117.082
,0.27285,105.851,103.253,111.189
,0.31833,106.248,101.032,108.762
,0.3638,103.819,108.643,112.346
,0.40927,104.76,118.235,110.54
,0.45475,112.679,129.717,113.566
,0.50023,117.059,142.365,122.534
,0.5457,120.973,162.247,138.478
,0.59118,134.422,181.52,166.987
,0.63665,132.326,192.611,227.942
,0.68213,125.157,228.933,307.184
,0.7276,129.835,232.216,369.277
,0.77308,129.385,233.121,370.608
,0.81855,126.419,204.167,330.344
,0.86402,122.733,186.731,264.222
,0.9095,133.023,170.758,193.861
,0.95498,169.982,160.975,149.249
,1.00045,240.825,175.757,122.255
,1.04593,331.776,216.827,112.942
,1.0914,382.17,248.762,108.095
,1.13688,415.447,268,105.444
,1.18235,342.726,234.46,107.427
,1.22783,240.134,197.325,109.217
,1.2733,165.587,161.786,108.064
,1.31878,129.588,131.54,108.961
,1.36425,108.18,117.887,110.956
,1.40973,108.701,117.448,111.769
,1.4552,109.319,104.765,111.568
,1.50068,105.36,108.917,108.926
,1.54615,101.733,106.605,104.692
,1.59162,97.335,103.933,105.741
,1.6371,99.985,102.018,108.026
,1.68257,104.713,105.748,111.374
,1.72805,108.514,109.081,111.746
,1.77352,105.508,107.443,109.158
,1.819,108.228,103.746,110.57
,1.86448,104.595,106.988,110.45
,1.90995,104.823,100.441,117.797
,1.95543,116.61,107.795,127.116
,2.0009,112.576,106.928,122.658
,2.04638,104.022,109.017,117.304
,2.09185,101.921,110.399,111.272
,2.13733,107.741,105.77,107.685
,2.1828,114.076,107.872,107.081
,2.22828,107.072,103.861,103.903
,2.27375,106.972,108.681,104.335
