CK113_1216_681_rapa_PDH_003.nd2 - Registered_009,Distance_(microns),Green,Red,Farred
,0,111.43,119,117.211
,0.04548,107.809,110.964,113.466
,0.09095,106.164,113.755,118.969
,0.13643,103.42,127.776,110.237
,0.1819,102.311,139.531,122.691
,0.22738,120.431,187.702,147.239
,0.27285,135.813,225.796,166.517
,0.31833,149.543,258.75,194.292
,0.3638,155.058,322.735,248.037
,0.40927,169.66,388.151,309.29
,0.45475,194.882,401.724,343.567
,0.50023,260.493,433.952,339.294
,0.5457,343.398,503.469,322.507
,0.59118,453.553,557.844,288.431
,0.63665,562.66,562.5,237.512
,0.68213,543.513,500.148,196.859
,0.7276,431.133,388.245,164.836
,0.77308,296.502,252.189,142.915
,0.81855,214.653,175.071,114.146
,0.86402,150.413,149.73,100.685
,0.9095,114.342,123.98,103.806
,0.95498,106.917,112.25,111.134
,1.00045,109.141,110.98,110.751
,1.04593,104.456,119.028,107.65
,1.0914,101.838,111.51,112.816
,1.13688,102.991,109.964,106.58
,1.18235,107.163,110.133,113.809
,1.22783,105.897,116.773,111.902
,1.2733,105.532,101,108.761
