CK113_1216_681_rapa_PDH_006.nd2 - Registered_001,Distance_(microns),Green,Red,Farred
,0,104.056,113.75,115.268
,0.04548,105.985,113.206,118.508
,0.09095,107.339,107.337,114.698
,0.13643,108.664,110.386,112.578
,0.1819,108.965,118.867,111.8
,0.22738,109.07,137.285,112.655
,0.27285,111.976,155.631,122.377
,0.31833,117.777,197.721,125.484
,0.3638,126.171,241.318,134.215
,0.40927,132.232,296.831,145.265
,0.45475,140.302,320.519,169.735
,0.50023,146.902,327.185,187.579
,0.5457,138.143,363.365,203.598
,0.59118,151.232,334.145,233.383
,0.63665,180.674,326.519,258.529
,0.68213,209.206,367.431,271.163
,0.7276,251.6,370.204,274.36
,0.77308,286.346,371.182,247.891
,0.81855,307.806,362.389,213.278
,0.86402,262.522,319.524,174.303
,0.9095,200.5,248.39,141.295
,0.95498,150.518,170.391,119.533
,1.00045,114.692,139.055,108.915
,1.04593,108.09,120.99,111.485
,1.0914,104.116,114.197,111.636
,1.13688,99.451,111.063,107.722
,1.18235,104.214,102.403,111.079
,1.22783,104.722,105.407,106.836
,1.2733,103.395,103.786,108.62
,1.31878,103.512,105.077,111.686
,1.36425,101.855,103.665,113.136
,1.40973,103.001,98.512,118.12
,1.4552,99.778,106.811,122.246
,1.50068,98.671,104.504,113.827
,1.54615,102.3,103.216,110.484
,1.59162,104.562,102.072,109.355
,1.6371,106.035,107.085,111.097
,1.68257,105.177,105.5,109.762
