CK113_1216_681_rapa_PDH_003.nd2 - Registered_011,Distance_(microns),Green,Red,Farred
,0,97.214,126,122.385
,0.04548,106.217,132.709,122.357
,0.09095,109.768,134.501,125.638
,0.13643,111.545,166.664,136.867
,0.1819,119.579,210.056,165.831
,0.22738,129.375,275.52,209.388
,0.27285,148.606,364.482,246.578
,0.31833,192.784,479.515,284.975
,0.3638,276.245,559.142,300.685
,0.40927,358.515,574.723,283.079
,0.45475,415.901,567.4,240.592
,0.50023,416.037,503.736,190.906
,0.5457,361.67,384.002,155.783
,0.59118,290.776,317.008,136.233
,0.63665,183.91,224.803,122.652
,0.68213,126.943,165.12,111.757
,0.7276,116.702,136.443,109.704
,0.77308,113.45,125.93,111.57
,0.81855,107.598,125.093,113.17
,0.86402,106.507,126.914,114.02
,0.9095,109.715,119.48,112.753
,0.95498,107.275,110.117,110.119
,1.00045,100.959,115.243,112.291
,1.04593,106.644,115.15,115.505
,1.0914,105.188,115.102,115.584
,1.13688,110.338,107,114.619
