CK109_1216_681_rapa_PDH_012 - Registered_001,Distance_(microns),Green,Red,Farred
,0,106.797,108.861,114.371
,0.04547,103.816,107.467,107.758
,0.09095,107.933,111.86,109.083
,0.13643,109.763,116.574,113.3
,0.1819,113.253,115.27,116.026
,0.22738,114.466,119.448,118.974
,0.27285,115.993,125.394,122.666
,0.31833,127.59,139.048,131.911
,0.3638,132.195,166.379,153.838
,0.40927,129.683,182.932,176.876
,0.45475,157.822,206.862,200.673
,0.50023,156.884,202.217,208.449
,0.5457,181.344,219.149,225.042
,0.59118,171.46,220.531,245.509
,0.63665,189.064,245.993,239.942
,0.68212,238.9,237.251,260.471
,0.7276,306.392,277.662,294.601
,0.77307,437.936,329.613,312.036
,0.81855,604.948,402.959,305.338
,0.86402,718.455,431.099,268.184
,0.9095,756.593,411.046,225.896
,0.95498,678.241,347.018,185.329
,1.00045,480.427,246.536,149.408
,1.04593,336.889,183.605,126.383
,1.0914,191.848,138.394,110.891
,1.13688,139.851,122.535,110.434
,1.18235,123.92,115.991,117.751
,1.22783,110.239,111.736,123.336
,1.2733,107.93,118.847,123.176
,1.31878,100.828,118.289,116.119
,1.36425,108.532,118.299,123.169
,1.40972,115.777,117.85,125.426
,1.4552,115.947,120.119,134.591
,1.50067,114.564,126.617,143.997
,1.54615,113.999,122.802,146.867
,1.59162,113.381,118.679,151.634
,1.6371,108.974,129.047,159.972
,1.68257,113.764,117.772,164.551
,1.72805,116.782,123.737,174.15
,1.77352,115.665,117,166.447
