CK109_1216_681_rapa_PDH_013 - Registered_003,Distance_(microns),Green,Red,Farred
,0,109.736,114,122.942
,0.04547,110.137,139.117,146.42
,0.09095,116.124,166.735,182.652
,0.13643,124.523,198.179,237.763
,0.1819,132.448,243.531,303.755
,0.22738,130.817,284.724,382.725
,0.27285,139.909,310.449,447.938
,0.31833,146.272,292.75,473.962
,0.3638,169.729,284.163,477.901
,0.40927,210.603,322.276,450.6
,0.45475,282.066,384.592,355.422
,0.50023,387.448,395.209,275.465
,0.5457,473.609,413.061,185.441
,0.59118,486.936,382.954,150.225
,0.63665,444.349,322.5,135.349
,0.68212,335.45,250.464,123.861
,0.7276,230.971,199.327,118.466
,0.77307,170.36,150.699,115.474
,0.81855,132.167,130.051,112.875
,0.86402,115.086,119.653,114.801
,0.9095,105.979,117.204,118.913
,0.95498,105.466,121.25,119.402
,1.00045,106.076,113.469,115.66
,1.04593,106.805,106.77,113.008
,1.0914,105.259,113.755,118.739
,1.13688,104.002,112.684,118.814
,1.18235,105.974,115.051,120.564
,1.22783,104.948,119.153,118.2
,1.2733,98.608,116,105.572
