CK113_1216_681_rapa_PDH_003.nd2 - Registered_007,Distance_(microns),Green,Red,Farred
,0,100.826,107,107.065
,0.04548,101.683,103.358,110.797
,0.09095,100.589,107.409,111.401
,0.13643,104.515,107.28,119.292
,0.1819,104.046,118.502,127.861
,0.22738,104.922,122.111,146.652
,0.27285,111.166,148.36,179.967
,0.31833,123.194,186.12,228.989
,0.3638,143.736,230.836,282.195
,0.40927,166.686,287.26,291.068
,0.45475,187.492,322.444,297.003
,0.50023,232.23,364.34,266.105
,0.5457,290.561,399.72,222.082
,0.59118,418.016,431.211,174.903
,0.63665,483.846,423.627,191.767
,0.68213,489.112,411.5,162.495
,0.7276,454.248,339.204,171.449
,0.77308,301.855,237.409,147.396
,0.81855,189.458,183.04,132.049
,0.86402,138.638,141.264,122.137
,0.9095,122.033,119.333,117.846
,0.95498,111.866,113.56,111.386
,1.00045,104.055,113.018,112.358
,1.04593,102.352,114.72,112.029
,1.0914,106.514,113.04,107.245
,1.13688,108.112,111.889,105.669
,1.18235,105.875,112.529,114.631
,1.22783,102.197,103.16,117.985
,1.2733,104.17,100.858,112.348
,1.31878,103.878,103.449,114.218
,1.36425,104.113,106,105.015
