CK112_1216_681_rapa_PDH_003.nd2 - Registered_003,Distance_(microns),Green,Red,Farred
,0,102.2,102,109.168
,0.04548,103.741,104.684,108.313
,0.09095,103.961,108.105,111.211
,0.13643,105.144,109.211,117.504
,0.1819,101.492,109.684,128.657
,0.22738,109.29,117.632,133.16
,0.27285,109.018,120.474,151
,0.31833,104.488,125.421,187.688
,0.3638,109.036,142.421,234.47
,0.40927,115.452,153.368,272.313
,0.45475,122.321,182.526,285.96
,0.50023,120.037,192.579,281.529
,0.5457,122.353,189.368,293.251
,0.59118,120.187,179.789,311.963
,0.63665,130.891,194.263,318.037
,0.68213,141.569,218.158,307.635
,0.7276,165.647,224.842,277.59
,0.77308,204.822,232.053,237.349
,0.81855,295.787,263.632,221.369
,0.86402,348.422,267,194.91
,0.9095,359.183,277.684,177.638
,0.95498,315.827,243.263,157.341
,1.00045,244.922,197.947,140.889
,1.04593,172.37,176.105,129.668
,1.0914,130.775,135.947,123.069
,1.13688,107.089,121.684,117.65
,1.18235,106.992,114.053,116.105
,1.22783,109.534,111.368,116.269
,1.2733,108.224,108.947,120.406
,1.31878,107.422,110.632,121.322
,1.36425,108.565,109.842,116.783
,1.40973,105.941,107.895,117.714
,1.4552,104.618,103.105,113.85
,1.50068,104.97,106.684,118.354
,1.54615,106.517,112.789,116.087
,1.59162,102.933,111.737,117.321
,1.6371,101.774,114.474,124.269
,1.68257,106.783,120.211,118.066
,1.72805,111.246,111,124.831
