CK113_1216_681_rapa_PDH_004.nd2 - Registered_005,Distance_(microns),Green,Red,Farred
,0,106.476,112,113.099
,0.04548,106.248,122.433,114.97
,0.09095,110.103,123.982,115.92
,0.13643,110.321,134.086,117.295
,0.1819,114.883,141.47,130.107
,0.22738,115.959,155.595,147.138
,0.27285,119.717,209.789,191.342
,0.31833,145.455,286.975,251.281
,0.3638,175.484,374.195,321.422
,0.40927,245.433,449.093,377.622
,0.45475,311.328,501.855,398.616
,0.50023,353.992,496.023,371.787
,0.5457,369.213,481.865,344.389
,0.59118,377.792,434.647,254.727
,0.63665,366.186,364.698,196.77
,0.68213,371.096,315.223,156.494
,0.7276,344.773,254.347,136.089
,0.77308,278.628,221.454,120.721
,0.81855,212.929,190.369,113.28
,0.86402,167.764,145.73,114.809
,0.9095,138.439,137.206,114.834
,0.95498,118.771,124.791,113.009
,1.00045,113.332,121.373,114.134
,1.04593,109.536,120.39,112.745
,1.0914,105.775,127.035,105.831
,1.13688,106.228,121.264,108.556
,1.18235,107.711,129.163,107.213
,1.22783,105.64,122.574,108.033
,1.2733,106.418,120.008,108.459
,1.31878,107.086,107.84,111.151
,1.36425,109.911,111.387,113.74
,1.40973,112.873,111,115.648
