CK112_1216_681_rapa_PDH_003.nd2 - Registered_001,Distance_(microns),Green,Red,Farred
,0,113.084,107.667,108.942
,0.04548,108.489,105.505,107.215
,0.09095,111.431,103.047,108.843
,0.13643,112.853,108.138,111.383
,0.1819,105.202,109.658,109.275
,0.22738,106.952,107.734,107.019
,0.27285,108.444,110.639,108.353
,0.31833,107.944,116.238,108.733
,0.3638,108.035,121.358,116.725
,0.40927,125.777,129.031,139.939
,0.45475,155.803,163.2,163.663
,0.50023,186.916,175.237,180.821
,0.5457,244.144,219.707,203.878
,0.59118,289.547,260.332,219.241
,0.63665,337.251,259.464,225.65
,0.68213,389.992,285.568,220.744
,0.7276,388.427,282.997,198.994
,0.77308,344.542,237.593,175.66
,0.81855,292.941,212.155,152.912
,0.86402,233.309,180.03,136.219
,0.9095,164.991,165.893,128.437
,0.95498,128.293,141.87,112.237
,1.00045,120.914,119.799,105.165
,1.04593,121.134,119.862,106.056
,1.0914,112.846,112.321,107.752
,1.13688,110.339,120.102,108.336
,1.18235,110.825,118.588,113.034
,1.22783,114.093,114.927,111.058
,1.2733,108.373,111.718,108.919
,1.31878,113.897,111,105.025
