CK109_1216_681_rapa_PDH_012 - Registered_005,Distance_(microns),Green,Red,Farred
,0,108.059,124,117.154
,0.04547,109.709,116.444,129.038
,0.09095,114.574,112.749,146.339
,0.13643,115.619,113.704,161.853
,0.1819,131.984,122.486,192.885
,0.22738,169.475,153.979,266.978
,0.27285,221.125,191.111,327.806
,0.31833,286.548,246.033,381.299
,0.3638,353.456,295.16,440.608
,0.40927,401.868,313.333,445.523
,0.45475,426.338,351.3,406.138
,0.50023,495.454,375.531,345.369
,0.5457,633.657,439.593,282.106
,0.59118,764.266,432.004,234.157
,0.63665,801.464,465.568,196.734
,0.68212,713.481,417.37,165.454
,0.7276,530.274,321.444,146.559
,0.77307,314.318,241.3,141.82
,0.81855,193.749,183.333,127.659
,0.86402,142.82,144.934,123.462
,0.9095,123.707,122.144,117.959
,0.95498,111.787,121.593,117.118
,1.00045,107.331,114.041,112.417
,1.04593,109.681,119.383,109.446
,1.0914,108.258,111.704,110.9
,1.13688,111.576,106.136,115.807
,1.18235,108.991,106.387,113.278
,1.22783,111.254,109,113.975
