CK113_1216_681_rapa_PDH_006.nd2 - Registered_003,Distance_(microns),Green,Red,Farred
,0,101.261,114,122.639
,0.04548,102.828,111.84,110.485
,0.09095,106.505,119.773,115.776
,0.13643,110.792,113.4,119.228
,0.1819,108.235,117.333,119.74
,0.22738,105.9,110.667,124.469
,0.27285,106.22,121.4,133.116
,0.31833,109.193,132.333,140.857
,0.3638,114.685,140.467,161.544
,0.40927,122.891,167.08,194.308
,0.45475,145.522,218.333,231.31
,0.50023,229.847,283.293,291.302
,0.5457,377.356,371.68,383.708
,0.59118,573.853,492.72,501.226
,0.63665,748.573,589.067,540.062
,0.68213,820.679,676,561.662
,0.7276,675.19,586.507,540.569
,0.77308,518.637,557.093,470.735
,0.81855,352.839,468.88,380.194
,0.86402,249.591,404.733,310.798
,0.9095,177.645,331,246.771
,0.95498,143.498,247.8,186.749
,1.00045,122.748,195.267,149.135
,1.04593,112.025,157.88,129.288
,1.0914,105.022,127.56,120.208
,1.13688,104.409,118,111.6
,1.18235,106.513,116.24,112.594
,1.22783,104.129,113.32,115.649
,1.2733,103.661,117.2,120.003
,1.31878,104.466,104.84,120.393
,1.36425,113.479,113,110.979
