CK112_1216_681_rapa_PDH_002.nd2 - Registered_003,Distance_(microns),Green,Red,Farred
,0,114.755,165,135.493
,0.04548,112.437,150.64,128.067
,0.09095,112.828,139.52,122.526
,0.13643,109.54,132.64,121.22
,0.1819,125.428,160.76,130.238
,0.22738,127.492,200.6,140.726
,0.27285,143.495,247.52,166.233
,0.31833,150.247,296.16,248.997
,0.3638,182.783,325,326.556
,0.40927,218.298,355.72,395.737
,0.45475,256.223,363.2,420.3
,0.50023,286.346,453.72,399.357
,0.5457,365.269,477.36,343.154
,0.59118,395.686,414.2,262.303
,0.63665,428.202,442.24,185.725
,0.68213,373.93,354.6,145.547
,0.7276,273.411,269.4,131.462
,0.77308,217.777,206.4,118.831
,0.81855,152.215,160.68,115.487
,0.86402,117.633,123.76,114.999
,0.9095,111.288,120.2,110.801
,0.95498,106.4,113.12,109.036
,1.00045,106.317,108.08,105.311
,1.04593,103.831,107.44,102.404
,1.0914,104.816,106.08,105.157
,1.13688,106.899,97,101.819
