CK112_1216_681_rapa_PDH_003.nd2 - Registered_004,Distance_(microns),Green,Red,Farred
,0,105.068,125,122.354
,0.04548,107.587,120.273,115.055
,0.09095,106.156,115.091,113.942
,0.13643,102.304,115.909,120.749
,0.1819,100.946,122.091,108.635
,0.22738,105.098,127.273,127.291
,0.27285,108.13,120.364,133.526
,0.31833,114.3,129.636,144.435
,0.3638,112.681,150,167.798
,0.40927,138.543,172.273,182.356
,0.45475,179.206,199.545,226.562
,0.50023,229.556,206,236.999
,0.5457,279.719,248.091,255.727
,0.59118,301.858,277.818,263.539
,0.63665,378.711,282.091,242.162
,0.68213,427.847,271.636,218.571
,0.7276,363.455,230.455,185.753
,0.77308,319.468,199.182,155.666
,0.81855,219.252,178.455,131.079
,0.86402,176.831,159.727,120.061
,0.9095,145.773,146.091,114.351
,0.95498,137.386,116.273,112.296
,1.00045,119.875,120,108.748
,1.04593,103.378,116.909,111.397
,1.0914,114.651,122.818,122.377
,1.13688,106.531,113.909,107.041
,1.18235,103.613,108.091,112.509
,1.22783,104.007,110.636,117.258
,1.2733,108.747,118.727,116.586
,1.31878,105.768,114.455,114.398
,1.36425,108.791,113.727,112.696
,1.40973,109.922,114.091,116.41
,1.4552,107.97,120.273,118.567
,1.50068,102.592,107,116.564
