CK113_1216_681_rapa_PDH_004.nd2 - Registered_001,Distance_(microns),Green,Red,Farred
,0,112.537,115,140.77
,0.04548,104.753,116.136,131.195
,0.09095,109.272,117.695,127.002
,0.13643,111.005,113.917,125.451
,0.1819,113.614,111.213,125.553
,0.22738,113.96,115.185,117.333
,0.27285,111.342,117.68,119.359
,0.31833,108.058,119.338,119.704
,0.3638,108.153,117.593,123.479
,0.40927,116.333,127.05,131.813
,0.45475,115.05,128.593,134.332
,0.50023,112.448,138.426,143.658
,0.5457,120.007,160.92,177.085
,0.59118,134.747,201.907,249.56
,0.63665,146.31,262.667,322.833
,0.68213,155.541,304,436.261
,0.7276,179.32,338.159,558.812
,0.77308,195.473,349.29,684.73
,0.81855,245.1,413.52,753.194
,0.86402,341.457,459.365,728.844
,0.9095,499.525,518.333,653.232
,0.95498,682.497,547.01,500.138
,1.00045,768.622,572.667,344.049
,1.04593,702.227,539.666,234.133
,1.0914,522.929,439.973,167.49
,1.13688,327.055,316.009,137.168
,1.18235,213.945,215.065,126.774
,1.22783,146.064,163.75,122.83
,1.2733,123.849,132.218,119.336
,1.31878,110.929,113.206,116.433
,1.36425,105.484,118,120.195
,1.40973,104.246,120.96,120.815
,1.4552,104.531,110.902,113.586
,1.50068,105.043,115.003,116.396
,1.54615,110.758,119.75,127.82
,1.59162,107.528,124.13,125.224
,1.6371,108.059,117.68,118.939
,1.68257,107.447,114.999,116.679
,1.72805,103.142,109.825,113.135
,1.77352,110.938,118.81,110.668
,1.819,111.964,113.407,105.666
,1.86448,112.193,110.396,109.549
,1.90995,110.252,113.28,116.437
,1.95543,113.37,107.461,119.905
,2.0009,108.182,114.921,118.805
,2.04638,107.326,114,120.234
