CK112_1216_681_rapa_PDH_008.nd2 - Registered_002,Distance_(microns),Green,Red,Farred
,0,102.583,96,120.748
,0.04548,106.776,108.617,136.985
,0.09095,111.667,108.979,143.111
,0.13643,109.172,109.704,169.2
,0.1819,112.742,116.095,194.083
,0.22738,116.773,119.978,204.602
,0.27285,127.827,138.136,234.831
,0.31833,145.181,164.167,247.787
,0.3638,183.481,204.44,249.643
,0.40927,252.133,260.667,247.964
,0.45475,373.63,335.051,235.203
,0.50023,494.583,353.829,208.107
,0.5457,511.963,363,167.619
,0.59118,464.806,320.303,146.23
,0.63665,345.02,258.044,125.772
,0.68213,228.864,186.086,130.658
,0.7276,152.362,134.764,129.82
,0.77308,125.893,118.479,132.595
,0.81855,113.876,108.444,133.888
,0.86402,107.9,105.144,132.888
,0.9095,110.082,112.193,126.279
,0.95498,105.915,111.58,121.606
,1.00045,102.783,107.085,116.363
,1.04593,103.427,107.335,115.661
,1.0914,104.286,106.432,118.423
,1.13688,105.877,105.818,116.966
,1.18235,106.833,104.907,119.088
,1.22783,107.291,110,117.15
