CK113_1216_681_rapa_PDH_003.nd2 - Registered_008,Distance_(microns),Green,Red,Farred
,0,107.521,123,114.977
,0.04548,102.075,108,107.611
,0.09095,99.057,105.613,112.598
,0.13643,102.378,114.387,116.484
,0.1819,98.224,119.871,111.789
,0.22738,102.509,116.742,112.752
,0.27285,99.334,118.452,133.249
,0.31833,108.358,151.484,138.394
,0.3638,117.164,188.452,157.376
,0.40927,121.816,232.129,184.415
,0.45475,143.942,279.548,244.77
,0.50023,162.339,327.097,261.985
,0.5457,185.13,365.581,266.961
,0.59118,231.439,407.194,259.432
,0.63665,308.76,436.613,233.673
,0.68213,423.799,490.226,225.539
,0.7276,469.329,467.548,201.104
,0.77308,454.23,403.968,190.134
,0.81855,335.524,314.129,173.358
,0.86402,217.176,208.742,135.323
,0.9095,153.268,159.806,130.562
,0.95498,124.891,130.387,118.088
,1.00045,111.261,112.29,113.289
,1.04593,105.822,105.29,113.538
,1.0914,109.509,114.355,106.714
,1.13688,112.539,106.065,105.875
,1.18235,113.929,111.839,104.966
,1.22783,104.08,110.613,117.471
,1.2733,105.73,111.129,106.375
,1.31878,104.105,98.065,108.88
,1.36425,99.454,116.065,111.739
,1.40973,101.226,114,111.7
