CK113_1216_681_rapa_PDH_003.nd2 - Registered_005,Distance_(microns),Green,Red,Farred
,0,103.079,115.25,116.274
,0.04548,102.305,117.429,122.283
,0.09095,103.591,118.969,120.409
,0.13643,104.487,122.217,116.303
,0.1819,105.918,129.366,121.161
,0.22738,112.453,145.446,127.528
,0.27285,117.593,187.23,131.815
,0.31833,134.672,245.413,152.435
,0.3638,156.182,299.812,220.472
,0.40927,169.944,335.115,291.16
,0.45475,178.749,376.442,342.812
,0.50023,173.201,391,369.391
,0.5457,170.62,370.128,358.077
,0.59118,191.608,367.469,318.716
,0.63665,256.59,394.85,248.417
,0.68213,350.238,438.623,204.773
,0.7276,442.883,444.75,156.854
,0.77308,503.051,443.616,129.969
,0.81855,474.69,384.666,114.435
,0.86402,377.712,270.908,112.32
,0.9095,270.728,192.129,107.685
,0.95498,177.148,145.27,111.607
,1.00045,131.41,127.341,109.296
,1.04593,115.468,111.865,104.456
,1.0914,109.528,108.828,104.087
,1.13688,102.595,105.39,104.638
,1.18235,107.599,109.862,107.252
,1.22783,106.007,108.879,108.626
,1.2733,107.331,107.701,108.356
,1.31878,107.422,105.546,108.634
,1.36425,107.895,108.435,104.676
,1.40973,105.72,106.539,107.407
,1.4552,104.552,107,109.16
