CK109_1216_681_rapa_PDH_014 - Registered_002,Distance_(microns),Green,Red,Farred
,0,104.334,102,108.725
,0.04548,99.981,104.689,106.362
,0.09095,98.775,105.556,107.945
,0.13643,102.52,108.3,105.934
,0.1819,103.925,111.956,106.897
,0.22738,102.663,117.444,104.75
,0.27285,108.702,119,104.483
,0.31833,110.379,127.722,105.726
,0.3638,115.262,138.444,115.595
,0.40927,128.563,154,139.411
,0.45475,154.434,196.889,174.724
,0.50023,200.826,259.878,213.827
,0.5457,285.239,328.6,236.463
,0.59118,379.45,447.233,238.976
,0.63665,426.601,459.356,195.2
,0.68213,445.5,463.5,166.687
,0.7276,402.354,392.044,133.028
,0.77308,317.034,358.278,125.933
,0.81855,211.338,254,120.184
,0.86402,155.04,182.856,114.849
,0.9095,121.511,145.889,113.17
,0.95498,112.007,120.4,111.089
,1.00045,110.462,112.867,109.404
,1.04593,112.543,111.956,110.041
,1.0914,107.718,106.2,111.095
,1.13688,106.401,108.111,119.866
,1.18235,104.24,108.156,124.122
,1.22783,102.899,108.3,131.263
,1.2733,105.845,107.844,140.167
,1.31878,104.362,104.811,137.907
,1.36425,106.585,100,125.891
