CK112_1216_681_rapa_PDH_003.nd2 - Registered_002,Distance_(microns),Green,Red,Farred
,0,113.284,111,110.792
,0.04548,111.528,110.165,116.013
,0.09095,105.966,110.389,115.518
,0.13643,106.046,113.007,111.688
,0.1819,108.925,113.333,111.099
,0.22738,108.817,116.38,110.116
,0.27285,113.429,113.889,112.986
,0.31833,113.163,128.764,120.62
,0.3638,115.816,132.778,127.435
,0.40927,117.851,141.5,149.103
,0.45475,123.602,155.355,195.358
,0.50023,129.817,170.14,235.762
,0.5457,137.668,188.556,261.103
,0.59118,163.34,185.857,283.585
,0.63665,187.656,193.79,301.695
,0.68213,233.797,224.861,280.197
,0.7276,256.21,226.136,237.377
,0.77308,289.904,228.515,210.974
,0.81855,258.356,216.75,167.536
,0.86402,206.815,190.634,137.63
,0.9095,153.969,163.531,125.279
,0.95498,129.767,128.979,111.855
,1.00045,118.249,119.954,111.142
,1.04593,103.508,113.524,115.782
,1.0914,102.974,111.667,115.227
,1.13688,106.543,111.26,111.826
,1.18235,106.101,102.346,113.243
,1.22783,105.34,103.188,112.108
,1.2733,106.281,107.568,107.934
,1.31878,108.49,107.438,111.621
,1.36425,108.094,107.361,114.378
,1.40973,110.565,112.548,111.598
,1.4552,107.575,110.519,110.279
,1.50068,106.471,111.743,111.173
,1.54615,110.581,117.812,113.135
,1.59162,110.722,108.593,115.716
,1.6371,111.453,121,115.347
