CK109_1216_681_rapa_PDH_015 - Registered_001,Distance_(microns),Green,Red,Farred
,0,102.497,113,118.163
,0.04548,111.128,111.178,115.549
,0.09095,111.793,104.842,111.953
,0.13643,110.199,108.615,114.309
,0.1819,105.964,109.121,118.165
,0.22738,106.167,112.012,126.842
,0.27285,108.091,112.13,133.996
,0.31833,110.074,103.03,115.932
,0.3638,106.669,111.224,117.999
,0.40927,109.974,108.793,122.959
,0.45475,109.688,112.066,125.366
,0.50023,111.398,119.224,132.875
,0.5457,119.607,128.728,148.459
,0.59118,127.805,141.111,180.747
,0.63665,150.503,156.026,245.951
,0.68213,172.814,189.982,330.029
,0.7276,197.572,243.064,404.813
,0.77308,260.339,302.235,471.715
,0.81855,300.176,330.367,461.267
,0.86402,313.88,343.679,381.42
,0.9095,278.67,315.527,286.349
,0.95498,233.846,245.769,205.196
,1.00045,188.773,186.978,153.676
,1.04593,136.861,138.541,132.015
,1.0914,120.518,131.533,112.516
,1.13688,120.979,120.32,119.232
,1.18235,118.515,116.778,119.474
,1.22783,120.306,113.272,114.945
,1.2733,120.414,109.626,113.03
,1.31878,114.91,117.531,119.188
,1.36425,113.763,113.627,119.084
,1.40973,116.648,116.377,123.297
,1.4552,122.839,107.685,110.452
,1.50068,123.178,107.521,113.164
,1.54615,124.687,110.25,114.993
,1.59162,126.357,110.291,111.527
,1.6371,121.798,109.373,114.191
,1.68257,120.178,114.965,115.761
,1.72805,114.803,101.604,118.043
,1.77352,111.614,108,124.751
