CK113_1216_681_rapa_PDH_003.nd2 - Registered_001,Distance_(microns),Green,Red,Farred
,0,106.886,109,107.917
,0.04548,101.757,107.811,110.177
,0.09095,102.309,115.75,113.845
,0.13643,102.316,111.161,111.023
,0.1819,99.696,107.044,109.333
,0.22738,99.383,108.105,111.6
,0.27285,101.67,113.388,117.567
,0.31833,99.742,119.568,123.812
,0.3638,106.494,121.355,143.863
,0.40927,108.983,141.805,177.789
,0.45475,119.434,177.892,268.226
,0.50023,155.88,236.86,391.084
,0.5457,169.258,299.067,508.311
,0.59118,172.267,357.499,583.155
,0.63665,183.053,366.253,603.445
,0.68213,189.852,368.588,535.672
,0.7276,226.407,347.661,421.387
,0.77308,271.394,321.017,317.129
,0.81855,340.206,319.644,219.952
,0.86402,383.677,296.12,167.516
,0.9095,378.002,300.521,137.873
,0.95498,287.329,261.836,123.52
,1.00045,200.709,204.021,120.851
,1.04593,142.479,161.109,114.151
,1.0914,118.596,132.449,112.955
,1.13688,107.038,118.576,116.549
,1.18235,104.398,114.353,119.514
,1.22783,104.705,110.098,115.822
,1.2733,101.052,113.024,111.798
,1.31878,99.816,118.254,112.331
,1.36425,100.752,108.979,114.346
,1.40973,102.527,117.998,120.08
,1.4552,111.886,124.403,122.263
,1.50068,105.171,110.228,123.02
,1.54615,104.1,114.715,123.425
,1.59162,105.909,114.556,121.364
,1.6371,105.516,111.692,117.842
,1.68257,106.325,108.815,113.229
,1.72805,108.731,109.252,109.145
,1.77352,105.66,111.71,111.734
,1.819,101.994,108.506,118.683
,1.86448,99.424,104,116.423
