CK109_1216_681_rapa_PDH_013 - Registered_004,Distance_(microns),Green,Red,Farred
,0,104.132,107,107.948
,0.04547,101.991,106.704,110.542
,0.09095,106.893,111.531,115.139
,0.13643,107.787,122.73,130.781
,0.1819,108.594,144.02,158.161
,0.22738,115.997,171.26,201.348
,0.27285,124.906,200.643,264.811
,0.31833,139.702,242,350.938
,0.3638,135.788,286.878,427.669
,0.40927,140.781,302.383,477.101
,0.45475,149.662,280.949,498.855
,0.50023,173.392,275.357,510.763
,0.5457,225.424,308.143,470.122
,0.59118,310.047,378.582,356.825
,0.63665,413.537,410.5,255.079
,0.68212,475.838,413.138,181.074
,0.7276,474.789,369.469,145.744
,0.77307,408.814,288.199,131.601
,0.81855,304.252,237.643,122.935
,0.86402,211.332,183.98,120.793
,0.9095,156.532,146.612,117.895
,0.95498,122.262,131,114.892
,1.00045,108.241,121.704,119.041
,1.04593,104.245,116.281,122.936
,1.0914,103.124,115.102,113.891
,1.13688,106.417,113.939,114.189
,1.18235,106.535,112.429,115.17
,1.22783,105.311,119.092,120.691
,1.2733,102.527,112,114.987
