CK112_1216_681_rapa_PDH_001.nd2 - Registered_002,Distance_(microns),Green,Red,Farred
,0,106.547,152,149.842
,0.04548,113.486,161.11,205.295
,0.09095,108.584,167.245,249.768
,0.13643,120.075,213.597,344.522
,0.1819,128.676,243.13,428.842
,0.22738,129.598,232.88,452.052
,0.27285,127.516,228.6,494.429
,0.31833,134.862,247.76,464.132
,0.3638,150.954,227.579,399.622
,0.40927,189.699,240.328,328.821
,0.45475,241.601,271.48,256.133
,0.50023,289.622,255.963,201.576
,0.5457,290.006,266.429,152.11
,0.59118,254.307,243.709,126.187
,0.63665,189.807,205.987,121.472
,0.68213,145.142,168.2,112.577
,0.7276,119.021,147.096,117.403
,0.77308,108.825,129.902,127
,0.81855,107.245,113.544,123.721
,0.86402,108.779,104.856,115.742
,0.9095,104.255,115,115.576
,0.95498,106.456,110.901,113.452
,1.00045,104.926,110.352,116.401
,1.04593,106.626,109.859,117.196
,1.0914,107.704,114.782,118.127
,1.13688,105.007,114,113.649
