CK112_1216_681_rapa_PDH_002.nd2 - Registered_001,Distance_(microns),Green,Red,Farred
,0,102.52,110,107.17
,0.04548,101.596,118.824,107.906
,0.09095,105.336,110.58,109.603
,0.13643,103.974,118.71,109.616
,0.1819,102.08,118.784,112.474
,0.22738,102.624,119.102,115.933
,0.27285,107.78,133.404,118.321
,0.31833,109.788,174.2,118.886
,0.3638,112.32,183.776,138.138
,0.40927,120.719,220.686,188.001
,0.45475,118.344,250,244.88
,0.50023,126.39,267.09,325.747
,0.5457,152.213,306.747,410.43
,0.59118,203.063,387.065,438.22
,0.63665,310.172,483.8,424.453
,0.68213,440.266,531.469,389.142
,0.7276,597.15,558.016,306.598
,0.77308,638.295,516.755,228.996
,0.81855,570.362,424.731,173.037
,0.86402,414.08,306.396,146.244
,0.9095,265.7,218.143,131.802
,0.95498,168.656,161,120.899
,1.00045,118.958,127.265,111.011
,1.04593,105.448,118.984,111.163
,1.0914,106.311,108.792,107.567
,1.13688,106.492,107.367,111.286
,1.18235,105.392,107.306,107.441
,1.22783,102.069,111.061,106.155
,1.2733,98.516,108.8,105.295
,1.31878,106.59,110.049,106.865
,1.36425,107.461,106.408,105.008
,1.40973,103.531,107.837,103.322
,1.4552,101.774,110.633,102.98
,1.50068,101.877,105.061,106.28
,1.54615,105.527,113.016,108.522
,1.59162,96.186,114,108.237
