CK109_1216_681_rapa_PDH_009 - Registered_001,Distance_(microns),Green,Red,Farred
,0,109.851,116,119.9
,0.04547,113.545,111,125.958
,0.09095,104.522,119,125.346
,0.13643,122.437,115,119.212
,0.1819,110.934,109,125.664
,0.22738,111.939,117,128.992
,0.27285,119.962,125,131.099
,0.31833,110.822,113,155.024
,0.3638,130.809,127,185.851
,0.40927,124.1,139,229.043
,0.45475,136.205,187,277.433
,0.50023,149.144,186,304.528
,0.5457,173.643,205,309.694
,0.59118,200.85,224,295.455
,0.63665,300.699,259,259.839
,0.68212,369.478,266,200.93
,0.7276,556.667,308,156.332
,0.77307,689.524,336,137.322
,0.81855,681.945,359,126.429
,0.86402,552.555,303,121.642
,0.9095,416.893,277,119.401
,0.95498,273.163,168,115.222
,1.00045,177.11,142,115.824
,1.04593,159.373,139,116.59
,1.0914,120.228,112,113.907
,1.13688,116.593,118,117.385
,1.18235,106.752,117,119.721
,1.22783,111.708,133,112.022
,1.2733,109.29,125,111.796
,1.31878,108.251,111,116.687
,1.36425,97.998,112,122.496
,1.40972,112.989,110,120.82
,1.4552,109.193,109,122.5
