CK109_1216_681_rapa_PDH_014 - Registered_005,Distance_(microns),Green,Red,Farred
,0,119.117,126,126.593
,0.045475,117.759,136.095,146.971
,0.09095,133.237,175.218,185.678
,0.136425,133.256,188.347,254.938
,0.1819,143.131,217.855,338.219
,0.227375,146.188,228.492,415.941
,0.27285,158.898,244.531,456.669
,0.318325,175.078,275.556,477.667
,0.3638,220.025,293.81,462.952
,0.409275,247.262,302.694,380.108
,0.45475,276.784,273.59,290.126
,0.500225,265.219,258.526,208.425
,0.5457,212.913,203.653,150.507
,0.591175,167.381,164.683,128.415
,0.63665,131.083,142,122.099
,0.682125,113.189,138.429,117.549
,0.7276,112.228,128.385,117.083
,0.773075,109.887,121.639,120.043
,0.81855,112.522,117.837,119.939
,0.864025,108.382,112.499,113.717
,0.9095,103.92,114.925,121.548
,0.954975,107.537,119,126.566
