CK109_1216_681_rapa_PDH_012 - Registered_003,Distance_(microns),Green,Red,Farred
,0,102.69,114,117.881
,0.04547,107.566,112.777,123.676
,0.09095,111.121,117.853,121.732
,0.13643,114.961,123.797,140.442
,0.1819,115.09,135.028,151.29
,0.22738,131.49,161.621,180.072
,0.27285,144.099,183.527,218.408
,0.31833,151.425,195.35,237.852
,0.3638,157.572,207.216,232.811
,0.40927,163.478,220.525,217.441
,0.45475,174.432,230.635,213.512
,0.50023,185.632,227.83,199.226
,0.5457,206.725,216.335,163.49
,0.59118,241.538,235.699,139.849
,0.63665,301.061,240.949,133.307
,0.68212,340.46,255.963,126.845
,0.7276,288.897,241.049,122.788
,0.77307,241.294,188.922,121.2
,0.81855,180.257,149.049,119.36
,0.86402,138.624,132.382,123.119
,0.9095,119.828,116.91,127.129
,0.95498,117.791,118.201,131.549
,1.00045,120.46,121.975,136.203
,1.04593,112.344,124.038,127.649
,1.0914,110.363,117.043,120.465
,1.13688,112.119,112.022,122.783
,1.18235,114.423,119.339,119.718
,1.22783,115.94,118.806,121.997
