CK113_1216_681_rapa_PDH_003.nd2 - Registered_003,Distance_(microns),Green,Red,Farred
,0,102.461,112,125.721
,0.04548,98.169,105.627,119.353
,0.09095,105.844,118.613,116.496
,0.13643,104.758,119.96,113.536
,0.1819,108.327,114.947,111.418
,0.22738,109.053,128.333,116.617
,0.27285,116.045,167.2,128.509
,0.31833,128.31,211.68,142.471
,0.3638,149.178,277.947,167.528
,0.40927,156.292,368.96,192.935
,0.45475,180.405,456.667,205.609
,0.50023,215.646,525.92,213.257
,0.5457,254.493,546.28,212.799
,0.59118,287.399,633.907,217.464
,0.63665,378.03,612.973,214.285
,0.68213,411.765,519,197.65
,0.7276,357.308,407.293,168.46
,0.77308,270.26,254.613,143.856
,0.81855,185.447,169.68,135.418
,0.86402,140.371,140.027,124.026
,0.9095,120.431,120,116.591
,0.95498,112.408,111.8,113.462
,1.00045,110.056,107,112.084
,1.04593,107.85,110.507,112.216
,1.0914,105.307,111.44,111.281
,1.13688,106.17,114.667,110.286
,1.18235,103.561,113.04,111.328
,1.22783,104.692,112.76,106.203
,1.2733,103.398,110.6,105.137
,1.31878,100.828,109.6,105.706
,1.36425,101.371,110,108.384
