CK112_1216_681_rapa_PDH_002.nd2 - Registered_002,Distance_(microns),Green,Red,Farred
,0,104.625,123,127.177
,0.04548,104.696,119.953,135.884
,0.09095,103.227,113.417,137.463
,0.13643,104.269,113.328,148.066
,0.1819,100.645,124.5,177.134
,0.22738,103.54,150.25,237.553
,0.27285,112.959,171.688,326.661
,0.31833,116.661,217.198,443.248
,0.3638,128.805,272.333,534.62
,0.40927,150.393,318.531,555.072
,0.45475,172.762,356.25,531.671
,0.50023,202.728,448.182,438.528
,0.5457,307.553,505,350.974
,0.59118,439.459,555.266,271.33
,0.63665,524.666,557.646,235.263
,0.68213,557.384,482.484,213.124
,0.7276,502.269,386.667,194.326
,0.77308,380.344,279.818,175.204
,0.81855,251.176,205.688,156.072
,0.86402,155.097,136.536,136.212
,0.9095,123.477,122.583,119.907
,0.95498,111.855,121.812,112.352
,1.00045,111.441,114.667,111.682
,1.04593,108.801,110.792,110.924
,1.0914,101.036,104,113.02
