CK109_1216_681_rapa_PDH_012 - Registered_002,Distance_(microns),Green,Red,Farred
,0,125.499,147,136.887
,0.04547,133.455,136.46,143.766
,0.09095,136.858,139.802,147.758
,0.13643,137.652,142.576,144.112
,0.1819,130.921,137.916,141.607
,0.22738,134.328,142.314,141.999
,0.27285,142.898,154.703,162.391
,0.31833,156.504,172.156,199.547
,0.3638,147.288,191.816,261.45
,0.40927,170.301,215.972,345.659
,0.45475,192.265,239.292,462.689
,0.50023,173.216,257.665,571.584
,0.5457,183.317,261.109,637.871
,0.59118,177.389,268.554,605.356
,0.63665,178.806,268.594,492.312
,0.68212,193.332,277.066,386.096
,0.7276,209.376,282.208,288.861
,0.77307,260.917,302.754,198.91
,0.81855,354.825,362.223,148.751
,0.86402,487.074,382.379,138.199
,0.9095,611.34,405.2,130.602
,0.95498,664.886,385.497,125.389
,1.00045,471.119,360.942,124.033
,1.04593,353.447,282.825,116.337
,1.0914,227.827,214.671,114.09
,1.13688,162.452,159.047,118.07
,1.18235,129.554,132.661,118.029
,1.22783,117.474,127.62,115.945
,1.2733,109.301,120.3,115.148
,1.31878,110.201,118.75,115.846
,1.36425,108.613,113.453,120.291
,1.40972,113.202,126.119,122.57
,1.4552,121.711,123.564,118.792
,1.50067,116.314,114.988,110.99
,1.54615,118.756,110.736,114.315
,1.59162,113.107,112.29,114.536
,1.6371,108.002,119.713,114.109
,1.68257,114.831,124.167,116.666
